,Unnamed: 0,smiles,cluster_id,score
0,0,[C]c1cc(CNC(=O)c2cc(NC(=O)c3cc(-c4cnccn4)c(Cl)cc3Cl)n(-c3ccccc3)n2)on1,5,7.5
1,1,[CH]CCOc1ccccc1NC(=O)c1csc(C)n1,2,2.0
2,2,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(Cc4ccccc4)[C@H]3C2)cc1,2,23.5
3,3,OC1C(c2ccccc2)O[C@H](CN2CC[N+]C(CCl)(CCCCc3ccccc3)CC2)[C@H]1O,2,4.0
4,4,[CH]C1CCN(C(=O)Oc2ccc(/C=c3\[nH]c(=O)/c(=C/c4cccnc4)[nH]c3=O)cc2)C1,2,17.5
5,5,Cc1cc(NC(=O)c2cccc3c2[C@H](C)C[C@H]3Nc2cc(F)cc3c2O[C]CC3)no1,2,9.0
6,6,[CH]N(C)Cc1ccc(Nc2ncc3c(cnn3Cc3cccc(CC(=O)NN)c3)n2)cc1,2,8.0
7,7,[N+]=C(NCCCCc1ccccc1)Nc1ccccc1,2,6.0
8,8,[CH]c1nc(Nc2cccc(OC(F)(F)F)c2)c2[nH]cnc2n1,2,2.0
9,9,CC1=C(C)[C@@H](c2ccccc2)n2cnnc2[C][C@H]1O,2,3.5
10,10,O=C(NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)[C@H](Cc1ccc(-c2ccccc2)cc1)N=C=S,60,23.5
11,11,Cc1ccc(-c2ccc(-c3ccc(S(C)(=O)=O)cc3)n2Cc2ccccc2N=C=S)cc1,60,13.5
12,12,Oc1ccc(CCN=C=S)cc1,60,9.5
13,13,S=C=NCCc1cccc(-c2ccccc2)c1,60,8.0
14,14,Cc1ccc(C(=O)N[C@H]2C[C@@H](N=C=S)C2)c(C)c1,60,3.5
15,15,COc1ccc2c3ccc(N=C=S)c(C)c3n(CCCCC(=O)NO)c2c1,60,4.0
16,16,COc1ccc(CCN(C)N=C=S)cc1OC,60,3.5
17,17,NCCCCCCN=C=S,60,2.0
18,18,COc1ccccc1CCN=C=S,60,7.0
19,19,Cc1ccccc1-c1ccc(CO[C@H]2C[C@@H](N=C=S)C2)c(Cl)c1,60,11.5
20,20,CC(C)(C)OC(=O)OC(C(=O)[O-])[Si](=O)(O)OC[C@H](O)C(=O)[O-],1,13.0
21,21,Cc1ccc(S(=O)(=O)c2ccc3c(c2)[C@]24CCN(CC5CC5)C([CH]3)[C@H]2C[C@H](CC(=O)O)C(=O)C4)cc1,1,13.5
