,Unnamed: 0,smiles,cluster_id,score
2,2,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(Cc4ccccc4)[C@H]3C2)cc1,2,23.5
4,4,[CH]C1CCN(C(=O)Oc2ccc(/C=c3\[nH]c(=O)/c(=C/c4cccnc4)[nH]c3=O)cc2)C1,2,17.5
10,10,O=C(NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)[C@H](Cc1ccc(-c2ccccc2)cc1)N=C=S,60,23.5
11,11,Cc1ccc(-c2ccc(-c3ccc(S(C)(=O)=O)cc3)n2Cc2ccccc2N=C=S)cc1,60,13.5
19,19,Cc1ccccc1-c1ccc(CO[C@H]2C[C@@H](N=C=S)C2)c(Cl)c1,60,11.5
20,20,CC(C)(C)OC(=O)OC(C(=O)[O-])[Si](=O)(O)OC[C@H](O)C(=O)[O-],1,13.0
21,21,Cc1ccc(S(=O)(=O)c2ccc3c(c2)[C@]24CCN(CC5CC5)C([CH]3)[C@H]2C[C@H](CC(=O)O)C(=O)C4)cc1,1,13.5
22,22,COCCN1[CH][C@@H](c2cc(F)c(F)c(F)c2)[C@H](NC(=O)Nc2c(C)c(OCCN(C)C)nn2-c2ccccc2)C1,1,17.0
25,25,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[CH]C(Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C)C(=O)N1C[C@H](Oc2ccc3c(c2)COC3=O)C[C@H]1C(=O)N[C@@H](C(=O)N[C@@H](CS)C(=O)O)C1CCCCC1,1,15.0
27,27,O=C(O)C1=C(CN[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)CC[CH]C1,1,14.5
28,28,C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(N3C[CH]c4ccccc4[C@H]3CO)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,1,12.5
32,32,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1cn(-c2ccccc2)nc1-c1ccccc1,42,16.0
51,51,COc1ccc(CC(N=O)C(=O)OCC(=O)c2ccc(O)cc2O)cc1,95,14.0
53,53,COc1ccc(C[C@H](NC(=O)[C@H](C)N=[N+]=[N-])C(=O)N[C@H](C=O)Cc2ccccc2)cc1,36,28.5
