,Unnamed: 0,smiles,cluster_id,score
0,0,Nc1cc(C2CCN(C(=O)Cc3ccccc3)CC2)no1,1,12.5
1,1,Clc1cccc(-n2cnc(-c3ccccc3Nc3ccncc3)n2)c1,1,13.0
2,2,C#CCOCC1CCCN(C(=O)c2cccc(C)c2)C1,1,6.5
3,3,CC(NC(=O)CCn1nnc2ccccc2c1=O)c1cccc(F)c1,1,12.5
4,4,CC1CNc2ccc(NC(=O)c3cnc[nH]3)cc2O1,1,9.0
5,5,Cc1cc(C(C)NC(=O)NC(C)(C)c2nc(C)c(C)s2)c(C)s1,1,4.5
6,6,CCc1nn(C[C@@H](C)COC(=O)c2cc(C(F)(F)F)ccc2Cl)c2c1C(=O)NCC1(CCOCC1)C2,1,8.5
7,7,CNC(=O)c1cccc(NC(=O)CCc2ccccc2)c1,1,4.5
8,8,Cc1ccc(C(C)C)c(OC(C)C(=O)Nc2cc(C)n[nH]2)c1,1,9.0
9,9,N[C@H]1CC[C@@H](NC(=O)NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)CC1,1,4.5
10,10,COc1ccc(C(=O)CNc2cccc(C(C)=O)c2)cc1N,1,12.5
11,11,NCCCCCc1[nH]nc(-c2ccc(F)cc2)c1-c1ccncc1,1,13.5
12,12,Cc1nc(CNC(=O)N2CCN(S(C)(=O)=O)CC2)oc1C,1,5.5
13,13,N#Cc1ccc(CS(=O)(=O)Nc2cccnc2)cc1,1,9.5
14,14,Cn1nccc1C(=O)Nc1nnc(-c2ccc(F)cc2F)o1,1,6.5
15,15,COc1ccc2c(c1)CN(C(=O)c1ccc(OCC(F)F)nc1)CC2,1,3.5
16,16,C=C(C)c1cccc(C(=O)Nc2ccc(-c3ccc(C(N)=O)c(NC(C)=O)c3)c(F)c2OC)n1,1,9.0
17,17,COc1ccc(OCC(O)CNc2cccc(OC)c2)cc1,1,14.0
18,18,COc1ccc(C)cc1CN1CCCn2c(nnc2[C@H]2C[C@H](Oc3ncccc3C)C2)C1,1,4.5
19,19,O=C(Nc1ccc(Cl)cc1Cl)c1cccc(-n2cnnn2)c1,1,11.0
20,20,Nc1c(-c2ccccc2)noc1C(=O)Nc1ncccn1,1,11.5
21,21,Cc1ccc(C(=O)C2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(C#N)cc5)CC4)cn3)CC2)cc1,1,14.5
22,22,COCCNC(=O)C1CC(c2ccc(F)cc2)NS(=O)(=O)N1C,1,6.5
23,23,COCCn1cc(NC(=O)NCCc2csc(C)n2)nn1,1,14.0
24,24,CN(c1ccccc1C(N)=O)S(=O)(=O)c1ccc(F)cc1,1,14.0
25,25,COCc1cccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2)c1,1,6.0
26,26,COc1ccc(F)c(NC(=O)C(CC(C)C)N2CCCCC2=O)c1,1,11.0
27,27,CN(C)Cc1cc2c(c(CN3CCC(C(F)(F)F)CC3)n1)CN(c1cccc([C@]3(Cc4nncn4C)C[C@@H](C#N)C3)c1)C2=O,1,11.0
28,28,O=C(NO)c1ccc(CCn2cc(-c3cccnc3)nn2)cc1,1,6.5
29,29,CCc1cc2c(=O)n(Cc3nc(Cc4cccs4)no3)cnc2s1,1,7.5
30,30,CC(=O)Nc1ccc(NC(=O)C2CC3C=CC2C3)cc1Br,1,8.0
31,31,COC(=O)C1CC(O)CN1Cc1ccc(F)cc1,1,6.5
32,32,CCc1nc2cccnc2n1-c1ccc(CC(=O)Nc2cc(C(C)(C)C)[nH]n2)c(F)c1,1,17.0
33,33,COc1cc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC4(c5ccn[nH]5)CC4)C3)[nH]n2)ccn1,1,11.0
34,34,O=C(c1ccoc1)N1CCC(OCC2CC2)C1Cc1ccccc1,1,8.0
35,35,COc1cc(C(=O)N2CCCC2)ccc1NC(=O)CSc1nnnn1-c1ccc(-c2nc3ccccc3o2)cc1,1,9.5
36,36,Cc1cc(C)cc(OC(C)C(=O)Nc2ccc(C(N)=O)cc2)c1,1,2.0
37,37,O=C(Nc1n[nH]c2ccccc12)c1ccccc1-n1cnnn1,1,4.5
38,38,Fc1ccc(N2CCN(CCCCOc3ccc4ccn(Cc5ccccc5)c4c3)CC2)cc1,1,14.5
39,39,Cc1cc(SC2C(=O)CC(CCc3ccc(O)cc3)(C3CCCC3)OC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(O)c(O)c1,1,6.0
40,40,Cc1ccccc1CNC(=O)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,1,5.5
41,41,O=C(COc1ccccc1)Nc1noc2ncccc12,1,4.5
42,42,CC1CC1C(=O)Nc1ccc(NC(=O)CCn2cncn2)cc1,1,2.5
43,43,COc1cc2c(cc1OC)C(c1cccnc1)N(C(C)=O)CC2,1,9.0
44,44,Cc1ccc(F)c(NC(=O)C2Cc3ccccc3C(=O)O2)c1,1,3.0
45,45,COc1cc(F)c(-c2cc3cnc(Nc4ccc(N5CCO[C@H](C)C5)nc4)nc3n(C3CCCNC3)c2=O)c(F)c1,1,14.5
