,Unnamed: 0,smiles,cluster_id,score
0,0,Nc1cc(C2CCN(C(=O)Cc3ccccc3)CC2)no1,1,12.5
1,1,Clc1cccc(-n2cnc(-c3ccccc3Nc3ccncc3)n2)c1,1,13.0
3,3,CC(NC(=O)CCn1nnc2ccccc2c1=O)c1cccc(F)c1,1,12.5
10,10,COc1ccc(C(=O)CNc2cccc(C(C)=O)c2)cc1N,1,12.5
11,11,NCCCCCc1[nH]nc(-c2ccc(F)cc2)c1-c1ccncc1,1,13.5
17,17,COc1ccc(OCC(O)CNc2cccc(OC)c2)cc1,1,14.0
19,19,O=C(Nc1ccc(Cl)cc1Cl)c1cccc(-n2cnnn2)c1,1,11.0
20,20,Nc1c(-c2ccccc2)noc1C(=O)Nc1ncccn1,1,11.5
21,21,Cc1ccc(C(=O)C2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(C#N)cc5)CC4)cn3)CC2)cc1,1,14.5
23,23,COCCn1cc(NC(=O)NCCc2csc(C)n2)nn1,1,14.0
24,24,CN(c1ccccc1C(N)=O)S(=O)(=O)c1ccc(F)cc1,1,14.0
26,26,COc1ccc(F)c(NC(=O)C(CC(C)C)N2CCCCC2=O)c1,1,11.0
27,27,CN(C)Cc1cc2c(c(CN3CCC(C(F)(F)F)CC3)n1)CN(c1cccc([C@]3(Cc4nncn4C)C[C@@H](C#N)C3)c1)C2=O,1,11.0
32,32,CCc1nc2cccnc2n1-c1ccc(CC(=O)Nc2cc(C(C)(C)C)[nH]n2)c(F)c1,1,17.0
33,33,COc1cc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC4(c5ccn[nH]5)CC4)C3)[nH]n2)ccn1,1,11.0
38,38,Fc1ccc(N2CCN(CCCCOc3ccc4ccn(Cc5ccccc5)c4c3)CC2)cc1,1,14.5
45,45,COc1cc(F)c(-c2cc3cnc(Nc4ccc(N5CCO[C@H](C)C5)nc4)nc3n(C3CCCNC3)c2=O)c(F)c1,1,14.5
46,46,Cc1noc(C)c1C(C)NC(=O)c1cnn(-c2ccncc2)c1C,1,14.0
49,49,CS(=O)(=O)c1ccc(-c2noc(CCc3ccncc3)n2)cc1,1,13.0
50,50,Cc1ccc2c(c1)CCCN2C(=O)Cn1c(=O)cnc2ccccc21,1,14.0
53,53,CC(C)S(=O)(=O)C(C(=O)NCC(=O)NC1CC1)c1nc2cc(F)c(-c3ccc4[nH]ncc4c3)cc2s1,1,12.5
54,54,Cc1cccc(-c2cn([C@H]3C[C@H](O)[C@@H](COC(=O)CN)O3)c(=O)[nH]c2=O)c1,1,16.0
57,57,O=C(Nc1ccc(-c2ncc(-c3ccc(NC(=O)C4CC4)cc3S(=O)(=O)NC3CCCC3)s2)cc1)NC1CC1,1,11.5
63,63,C[C@H](CCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,1,13.0
67,67,CCOC(=O)N1CCN(C(=O)CCCOc2ccc(C)cc2)CC1,1,12.0
71,71,COc1ccc(F)cc1NC(=O)N1CCN(Cc2cccnc2)CC1,1,12.5
72,72,C[C@@H]1CN(c2cc(F)c(C3=CCCN(c4ncc(C(F)(F)F)cn4)C3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)C[C@H](C)N1C,1,11.0
76,76,Nc1ccc(C(=O)Nc2ncc(Cc3ccccc3)s2)nn1,1,11.0
79,79,COc1ccc(NC(=O)c2cccc(Oc3cc(C(=O)NCc4ccc5[nH]ccc5c4)ccn3)c2)cc1N1CCOCC1,1,14.0
84,84,C=C(C)CN(CC)S(=O)(=O)c1cc(-c2ccccc2)ns1,1,12.5
85,85,CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](CC(C)C)[C@H](CSCc1ccccc1)C(=O)O,1,20.5
88,88,COc1ncc(N2CCOc3ccc(O[C@H]4CCN(C(=O)c5ccccc5)C4)cc32)cc1C#N,1,15.0
94,94,O=C(c1cc(F)cc(F)c1)N1CCN(Cc2c[nH]c3ccccc23)CC1,1,11.5
95,95,N#Cc1cccc(C(=O)NC2CCN(C(=O)c3ccccc3)CC2)c1,1,12.0
96,96,CN1C2CCC1C(C(=O)N/N=C/c1ccc(Br)cc1)C(c1ccc(I)cc1)C2,1,11.0
97,97,CC1(C)[C@H]2CC[C@]1(c1cccc(-c3cnc(NCCCCO)nc3)n1)c1nnc(-c3c(F)cccc3F)cc12,1,12.5
104,104,N#Cc1ccc(SCc2cc(=O)n3ccsc3n2)cc1,1,12.5
105,105,CCOc1ccccc1-c1nc2c([nH]1)c(-c1ccccc1)nn2C,1,12.5
120,120,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](CNCCO)C1,1,13.0
122,122,Cc1nc(-n2ccc(C(F)(F)F)n2)sc1C(=O)N[C@H]1CCC[C@H](O)C1,1,14.5
