,Unnamed: 0,smiles,cluster_id,score
0,0,[N+]c1cccc(-c2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2F)c1,5,9.0
1,1,N#CSC[C@H]1O[C@@H](n2cnc3c(NC4CCOC4)ncnc32)[C@H](O)[C@@H]1O,68,12.5
2,2,Cc1cccc(C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CSC#N)C(=O)N[C@@H](Cc2ccc(NC(=O)c3ccccc3F)cc2)C(=O)N[C@@H]2N=C(c3ccccc3[N+](=O)[O-])c3ccccc3N(C)C2=O)c1C,68,21.5
3,3,CCCOC(=O)C1=C(C)NC(c2nc3cc(-c4cnn(C)c4)ccc3c(=O)[nH]2)=CC1c1ccccc1,39,16.5
4,4,N#C[C@@H]1[C@H](F)[C@H](O)C2N=C(Cl)C=CC21F,39,1.0
5,5,CCOC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCN(c3ccccc3CN(C(C)C)C(C)c3ccccc3OC)CC2)C1c1ccc(-c2ccc(OC)c(Cl)c2)cc1,39,7.5
6,6,COC(=O)C1=C(C)NC(C)=CC1c1csc(SC)n1,39,3.5
7,7,COc1ccccc1CN1C(=O)c2ccccc2C2C=CC=NC21,39,1.0
8,8,CNC(=O)C1=C(Nc2nc3ccccc3o2)C=C(C#N)C(c2ccccc2F)(C(F)(F)F)N1,39,20.5
9,9,CC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1,39,34.5
10,10,CC(=O)c1ccc(S(=O)(=O)NCC2C(=O)N=C(C)C=C2C)cc1,39,5.5
11,11,COc1ccc(-c2cccc3c2C2CC3=CC(c3ccccc3OCC(=O)O)=N2)cn1,39,4.5
12,12,CCOC(=O)C1=C(C)NC(C)=C(C(=O)Nc2cccc(Br)c2)C1c1csc(N)n1,39,7.0
13,13,CCOc1cccc(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OCC(C)C)c1,39,11.5
14,14,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2OC[C]N(Cc3ccccc3)[C@H]2C1)S(=O)(=O)c1ccc(N2CCOCC2)c([N+](=O)[O-])c1,2,12.5
15,15,CCOc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(Cc4ccccc4)[C@H]3C2)cc1,2,13.5
16,16,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(=O)OC(C)(C)C)[C@H]3C2)cc1,2,11.0
17,17,Cc1cnc2cc(-c3ccc4c(c3)O[C]CO4)nc(O[C@H](C)[C@H]3CNC(=O)C3)n12,2,9.5
18,18,[CH]C(C(=O)O[C@H]1C[N+]2(CCCCc3ccccc3)CCC1CC2)c1cccs1,2,10.5
19,19,CCOC(=O)N[C@@H](CNC(=O)c1ccc2c(c1)nc(-c1ccco1)n2C1=CC[C]CC1)C(=O)O,2,5.5
20,20,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(S(=O)(=O)c4cccc(Cl)c4)[C@H]3C2)cc1,2,21.0
21,21,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(C)=O)CC(=O)N3C[C@@H]2N=[N+]=[N-])cc1,2,22.5
22,22,[CH]n1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(C(F)(F)F)c(Cl)c4)cs3)c(C)oc2n(C)c1=O,2,4.5
23,23,[CH]N(C)[C@H](CN(C)C)c1ccc(-c2c(O)cc(Cl)c3[nH]c(=O)c4sccc4c23)cc1,2,11.0
24,24,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(Cc4csc(N)n4)[C@H]3C2)cc1,2,12.5
25,25,CN1C(=O)C(=Cc2c[nH]c3ccc(Br)cc23)C(=O)N(C)C1=O,69,3.0
26,26,Cc1ccc(-c2nn(-c3ccc(Cl)c(Cl)c3)cc2/C=C2\C(=O)NC(=O)N(CC3CC3)C2=O)cc1,69,4.5
27,27,C[C@@H]1CN2c3c(cc4c(N5C(=O)OCC5[C@@H](C)O)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,69,6.5
28,28,CCOCCC1(Oc2ccc(Oc3ccc(-c4nc(-c5ccccc5)co4)cc3)cc2)C(=O)NC(=O)NC1=O,69,4.0
29,29,CCCCN1C(=O)NC(=O)C(=CNN)C1=O,69,0.0
30,30,[N-]=[N+]=Nc1ccc(C=C2C(=O)NC(=O)N(C3CCCCC3)C2=O)cc1,69,7.5
31,31,CC(=O)c1oc2ccc(CC3(NC(=O)OCc4ccccc4)C(=O)NC(=O)NC3=O)cc2c1C,69,11.5
32,32,C[C@@H]1CN2c3c(cc4c(-n5cnnn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,69,7.5
33,33,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2)cc1,69,14.5
34,34,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1cn(-c2ccccc2)nc1-c1ccco1,69,15.0
35,35,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(Cc3ccc(C(=O)NCc4ccccc4OC(F)(F)F)cc3)CC2)C(=O)N1,69,7.0
