,Unnamed: 0,smiles,cluster_id,score
0,0,N#[N+]c1ccc(Cn2cncc2CN2CCN(c3ccc(F)c(F)c3)CC2)cc1,93,16.5
5,5,[CH]Oc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(=O)OC(C)(C)C)[C@H]3C2)cc1,4,14.0
6,6,CN1C2CC[C@@H]1CC(c1ccc(I)cc1)[C@H]2C(=O)OCCCCCCCCCCCCOCC[N+],5,15.0
8,8,[C]C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOCCOCCOCCOCCOCCOCCOCCOCC#CC#Cc2ccc(C[C@@H]3CCc4cc(C(=O)N5CCOCC5)ccc43)cc2)CC1)C1CCCCC1,5,11.0
9,9,[N+]CCCCCCC/C=C\CCCCCC(=O)c1ncco1,5,12.5
10,10,N#CSC[C@H]1O[C@@H](n2cnc3c(NCc4cccc5ccccc45)ncnc32)[C@H](O)[C@@H]1O,23,11.5
11,11,CN1C(=O)[C@H](NC(=O)[C@H](Cc2ccc(NC(=O)c3cccnc3)cc2)NC(=O)[C@H](CSC#N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCc2c[nH]c3ccccc23)N=C(c2ccccc2)c2ccccc21,23,17.0
12,12,N#CSC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O,23,15.0
13,13,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccc(NC(=O)/C=C/c3cccnc3)cc2)NC(=O)[C@H](CSC#N)NC(=O)c2cccc([N+](=O)[O-])c2)N=C(c2ccccc2)c2ccccc21,23,18.0
14,14,CCOC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1[C@H](C(=O)Nc2ccc3c(c2)CCN3C(=O)OC)[C@H]1C(=O)N1CC[C@H](n2cc(C3CC3)nn2)[C@@H]1CSC#N)C(C)C,23,12.0
15,15,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccc(NC(=O)c3cccc(NC(=O)c4ccccc4)c3)cc2)NC(=O)C(CSC#N)NC(=O)CNC(=O)c2ccccc2)N=C(c2ccccc2)c2ccccc21,23,17.0
18,18,CN1C(=O)[C@H](NC(=O)[C@H](CSC#N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)c2ccccc2)N=C(c2ccccc2)c2ccccc21,23,15.0
19,19,N#CSC[C@H]1OC(n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,23,17.5
21,21,O=C(CCCC[C@@H]1SC[C@H]2NC(=O)N[C@H]12)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H](O)c1ccc(OCc2ccc(Cl)cc2)cc1,36,12.0
23,23,C#CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCNC(=O)CCCCOC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1,36,13.5
24,24,C#CCC#CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc1cccc2cc(-c3nnc(C)o3)c(NC(=N)N)nc12,36,12.5
25,25,COCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,36,13.0
27,27,O=C(NCCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]21)Nc1cccc(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)OC[C@@H](O)CN2C(=O)c3ccccc3C2=O)c1,36,15.0
29,29,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCn1cc(C[C@@H](C(=O)N2CCN(c3ccccc3)CC2)c2ccc(C(F)(F)F)cc2)nn1,36,11.0
30,30,C#CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCCCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,36,11.5
31,31,C#CCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(CNCCOCCOCCOCCOCCn2cc(COC(=O)CN[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc([N+](=O)[O-])cc3)nn2)cc1,36,18.0
35,35,CC1=C(C(=O)OC2CCCCC2)C(c2ccc([N+](=O)[O-])cc2)C2=C(CC(C)(C)CC2=O)N1,30,11.0
36,36,CCOC(=O)C1=C(CC)NC(c2nnnn2CCCO)=CC1c1ccccc1,30,11.0
38,38,COC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)C1c1cccc([N+](=O)[O-])c1,30,13.0
42,42,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)C1c1csc(-c2ccc(Cl)cc2)n1,30,20.5
43,43,N=C(N)NCCC(NC(=O)CBr)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)CNC(=O)c1cc(O)cc(N=C=S)c1)C(=O)N[C@@H](CC(=O)O)C(=O)O,13,17.0
45,45,O=C(CCSCCNc1ccc(CN2CCCCC2)cc1Cl)NCCCN(CCCNc1nc(N2CCOCC2)nc(N2CCN(S(=O)(=O)c3ccc(F)c(F)c3)CC2)n1)CCN=C=S,13,14.5
47,47,[N-]=[N+]=NCC(=O)N[C@@H](CNC(=O)CNC(=O)c1ccc(N=C=S)cc1)C(=O)O,13,22.5
48,48,O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)[C@H](Cc1ccc(-c2cccc(N=C=S)c2)cc1)N1CCN(CC2=C(c3ccc(Cl)cc3)CC3(CCOCC3)CC2)CC1,13,18.0
49,49,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)N(C)Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccc(N=C=S)cc1)C(C)(C)C)C(C)(C)C)c1ccc(Cl)c(Cl)c1,13,14.0
50,50,CC(C)C[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOCCOCCOCCOCCOCC#Cc2ccc(C[C@H]3C[C@@H](N=C=S)C3)cc2)CC1)C(=O)N[C@H](C(=O)N[C@H](C(=O)NO)C1CCCCC1)C1CCCCC1,13,14.0
51,51,CC(C)CC(CNC(=O)C(Cc1ccc(N=C=S)cc1)NC(=O)CNC(=O)C(Cc1cccc([N+](=O)[O-])c1)NC(=O)OCc1ccccc1)NC(=O)OC(C)(C)C,13,14.5
52,52,CN(C)Cc1cc(S(=O)(=O)NC(=O)[C@H](Cc2ccc(-c3cccc(N=C=S)c3)cc2)N=C=S)ccc1Oc1ccc(Br)cc1,13,17.5
53,53,CC(C)CC(NC(=O)C(Cc1ccc(N=C=S)cc1)NC(=O)[C@H](Cc1ccc(F)cc1)N=[N+]=[N-])C(=O)[C@@]1(C)CO1,13,30.0
54,54,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[CH]C1CCCN1C(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])[C@@H](C)CC)C(=O)[C@@]1(C)CO1,45,20.0
55,55,CC(C)C[C@H](NC(=O)[CH]C(Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,45,18.0
56,56,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[CH]C(Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])[C@@H](C)CC)C(N)=O,45,12.0
57,57,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[CH]C(Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCC[N+](C)(C)C)C(=O)O,45,15.5
58,58,CC(C)C[C@H](NC(=O)[CH]C(Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,45,35.0
59,59,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[CH]CCCNC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)[C@@]1(C)CO1,45,19.5
60,60,CCC(C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[CH]C(Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,45,11.0
63,63,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[CH]C(Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,45,13.5
64,64,CC(C)C[C@H](NC(=O)[CH]n1cccc(NC(=O)[C@H](Cc2ccc([N+](=O)[O-])cc2)NC(=O)[C@H](Cc2ccccc2)N=[N+]=[N-])c1=O)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,45,36.0
65,65,O=P([O-])([O-])O[C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@H]1OP(=O)([O-])[O-],83,11.5
67,67,O=P([O-])([O-])O[C@@H]1[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])OCCCc2ccccc2)[C@@H](O)[C@@H](O)[C@H]1OP(=O)([O-])OP(=O)([O-])[O-],83,16.0
68,68,O=P([O-])([O-])O[C@@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1OP(=O)([O-])[O-],83,11.5
71,71,O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]1OP(=O)(O)O,83,15.0
73,73,O=P([O-])([O-])O[C@H]1[C@H](OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@H](O)[C@H](O)[C@@H]1OP(=O)([O-])[O-],83,12.5
74,74,O=P([O-])([O-])O[C@@H]1[C@H](OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H]1OP(=O)([O-])[O-],83,11.0
85,85,CC(C)C[PH](O)(O)[C@H]1CC[C@H](N(CCOCc2ccccc2)C(=O)Cc2cc(F)c(C(F)(F)F)c(F)c2)CC1,80,12.5
87,87,C#CCCCOP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)C[C@@H]1O,84,11.0
89,89,O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,84,13.0
91,91,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)C[C@@H]3O)[C@H](OP(=O)(O)O)[C@@H]2O)c(=O)[nH]1,84,25.0
92,92,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)O[C@@H]1n1cnc2c(N)ncnc21,84,13.5
93,93,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3nnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)C1O,84,18.0
95,95,C#CCOCCOCCOCCCOP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O,84,14.0
96,96,C[C@@H]1O[C@@H](OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@H](O)[C@H](OP(=O)(O)O)[C@@H]1O,84,13.0
