,Unnamed: 0,smiles,cluster_id,score
0,0,CN1c2ccc(NS(=O)(=O)c3ccccc3[Na+])cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C,4,0.0
1,1,N#[N+]c1ccc2nc(-c3ccc(C(=O)N4CCN(C(=O)c5ccc([N+](=O)[O-])cc5)CC4)cc3)[nH]c2c1CCCN1CCNCC1,22,11.5
2,2,N#[N+]c1ccc2nc(-c3ccc(OCCCN4CCCCC4)cc3)[nH]c2c1,22,15.5
3,3,N#Cc1ccc(Oc2ccc(NC(=O)C3CCCO3)c(Cl)c2)c([N+]#N)c1,22,5.5
4,4,N#Cc1ccc(C2CCc3nc4ccc(-c5ccc([N+]#N)cc5)cn4c32)cc1,22,15.5
5,5,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NCC(=O)O[C@H]1C[C@H]2OC[C][C]N(Cc3ccccc3)[C@H]2C1)S(=O)(=O)c1ccc2nc(NC3CC3)sc2c1,5,15.0
6,6,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(=O)O[C@@H]4C[C@@H]5[C@@H](C4)OC[C]N5C(=O)OC(C)(C)C)[C@H]3C2)cc1,5,14.5
7,7,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(=O)O[C@H]4C[C@H]5OC[C]N(C(=O)OCC(C)C)[C@H]5C4)[C@H]3C2)cc1,5,8.5
8,8,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(=O)O[C@H]4C[C@H]5CO[C][C@@H](C)[C@H]5C4)[C@H]3C2)cc1,5,19.5
9,9,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(=O)O[C@H]4C[C@H]5OC[C]N(C(=O)O[C@H]6C[C@H]7CCN(C7)C6)[C@H]5C4)[C@H]3C2)cc1,5,5.0
10,10,[C]OC(=O)CCNC(=O)c1ccc(NC(=O)c2ccc(C#N)cc2)c([N+](=O)[O-])c1,3,20.0
11,11,O=C(O)C(F)(F)F.[N+]C(N)=Nc1ccc(C(=O)Nc2ccc(S(=O)(=O)NC(=O)c3cc4c(F)cccc4n3Cc3ccccc3Cl)cc2)cc1,3,0.0
12,12,[N+]CC=C/C=C/C(=O)Nc1cccc([N+](=O)[O-])c1,3,19.5
13,13,[N+]C(=O)[O-],3,2.0
14,14,NC(=O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)[C][CH]C[C@@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)OCc2ccccc2)C1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,3,14.0
15,15,[C]N(Cc1ccccc1Cl)c1cccc2ccccc12,3,8.5
16,16,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@@H](C(=O)N(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)Cc2ccc([N+])cc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,3,10.5
17,17,C[C@@H]1CN(c2ncc(C(=O)NCCOCCOCCOCCOCC#Cc3cc([C@@H]4S[C@H]([N+])[C@@H](O)[C@H](O)[C@H]4O)c(Cl)cc3Cl)cn2)C[C@H](C)N1C(=O)NCCC1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1,3,36.5
18,18,[N+]CC(=O)[O-],3,16.0
19,19,COc1cc(CC2(NC(=S)Nc3ccc([N+](=O)[O-])cc3)C(=O)NC(=O)NC2=O)ccc1OCc1ccccc1,62,17.5
20,20,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C=C4C(=O)N(CC)C(=O)N(CC)C4=O)cc3)ncc2C)c1,62,13.5
21,21,COC(=O)c1ccc(C2(OCCCCCCOc3ccc(-c4oc(-c5ccccc5OC)cc4C(=O)O)cc3)C(=O)NC(=O)NC2=O)cc1,62,11.0
22,22,COC1(NC(=O)c2cccc(-c3cc(F)c(F)c(C(C)(F)F)c3)n2)C(=O)NC(=O)NC1=O,62,12.0
23,23,O=C1NC(=O)N(c2ccc([N+](=O)[O-])cc2)C(=O)C1=Cc1ccc(OCc2ccccc2)c([N+](=O)[O-])c1,62,16.0
24,24,O=C1NC(=O)N(CCN2CCOCC2)C(=O)C1=CNc1ccc(S(=O)(=O)Nc2nc3cc([N+](=O)[O-])ccc3o2)cc1,62,11.0
25,25,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(C(=O)[C@@H]3C[C@H]3c3ccc(C(F)(F)F)cc3)CC2)C(=O)N1,62,13.5
26,26,COc1ccc(N(Cc2ccccc2)Cc2cc(C=C3C(=O)NC(=O)N(c4ccc(OC)c(OC)c4)C3=O)ccc2O)cc1,62,14.5
27,27,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(C(=O)[C@@H]3C[C@H]3c3ccc([N+](=O)[O-])cc3)CC2)C(=O)N1,62,18.5
28,28,COc1ccc(C=C2C(=O)N(C)C(=O)N(CC(=O)Nc3ccccc3)C2=O)cc1,62,10.0
29,29,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(CCCC(=O)c3ccc(F)cc3)CC2)C(=O)N1,62,13.5
30,30,CCc1nc(Cl)c(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)ON2CCN(C(=O)OCC(C)C)CC2)[nH]1,88,4.0
