,Unnamed: 0,smiles,cluster_id,score
1,1,N#[N+]c1ccc2nc(-c3ccc(C(=O)N4CCN(C(=O)c5ccc([N+](=O)[O-])cc5)CC4)cc3)[nH]c2c1CCCN1CCNCC1,22,11.5
2,2,N#[N+]c1ccc2nc(-c3ccc(OCCCN4CCCCC4)cc3)[nH]c2c1,22,15.5
4,4,N#Cc1ccc(C2CCc3nc4ccc(-c5ccc([N+]#N)cc5)cn4c32)cc1,22,15.5
5,5,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NCC(=O)O[C@H]1C[C@H]2OC[C][C]N(Cc3ccccc3)[C@H]2C1)S(=O)(=O)c1ccc2nc(NC3CC3)sc2c1,5,15.0
6,6,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(=O)O[C@@H]4C[C@@H]5[C@@H](C4)OC[C]N5C(=O)OC(C)(C)C)[C@H]3C2)cc1,5,14.5
8,8,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(=O)O[C@H]4C[C@H]5CO[C][C@@H](C)[C@H]5C4)[C@H]3C2)cc1,5,19.5
10,10,[C]OC(=O)CCNC(=O)c1ccc(NC(=O)c2ccc(C#N)cc2)c([N+](=O)[O-])c1,3,20.0
12,12,[N+]CC=C/C=C/C(=O)Nc1cccc([N+](=O)[O-])c1,3,19.5
14,14,NC(=O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)[C][CH]C[C@@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)OCc2ccccc2)C1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,3,14.0
17,17,C[C@@H]1CN(c2ncc(C(=O)NCCOCCOCCOCCOCC#Cc3cc([C@@H]4S[C@H]([N+])[C@@H](O)[C@H](O)[C@H]4O)c(Cl)cc3Cl)cn2)C[C@H](C)N1C(=O)NCCC1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1,3,36.5
18,18,[N+]CC(=O)[O-],3,16.0
19,19,COc1cc(CC2(NC(=S)Nc3ccc([N+](=O)[O-])cc3)C(=O)NC(=O)NC2=O)ccc1OCc1ccccc1,62,17.5
20,20,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C=C4C(=O)N(CC)C(=O)N(CC)C4=O)cc3)ncc2C)c1,62,13.5
21,21,COC(=O)c1ccc(C2(OCCCCCCOc3ccc(-c4oc(-c5ccccc5OC)cc4C(=O)O)cc3)C(=O)NC(=O)NC2=O)cc1,62,11.0
22,22,COC1(NC(=O)c2cccc(-c3cc(F)c(F)c(C(C)(F)F)c3)n2)C(=O)NC(=O)NC1=O,62,12.0
23,23,O=C1NC(=O)N(c2ccc([N+](=O)[O-])cc2)C(=O)C1=Cc1ccc(OCc2ccccc2)c([N+](=O)[O-])c1,62,16.0
