,Unnamed: 0,smiles,cluster_id,score
0,0,[C]C(O)CNC(=O)c1nnn(-c2ccc(F)cc2)c1C(C)C,5,7.0
1,1,[C]c1cc(OCCN2CCNC2=O)n2nc(C)c(-c3ccc(Cl)cc3Cl)c2n1,5,1.0
2,2,[CH]C(NC(=O)c1cn2c3c(cccc3c1=O)CC2)c1ccccc1,2,10.0
3,3,[CH]OC(=O)C1CCCCN1Cc1ccc(OC(F)(F)F)cc1,2,8.0
4,4,COc1cc(C2C[N+]C3([O-])CCC2CC3)ccc1N1CC[C@@H]2OCCN=C21,2,26.0
5,5,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2C[C@@H]3C[C@@H]1[C][C@@](O)(C2)C3,2,0.0
6,6,[NH+]C(=O)CN1CN(C2CCC(c3cccc(OCc4ccc(Cl)cc4F)n3)CC2)c2ccc(C(=O)O)cc2C1=O,2,7.5
7,7,[CH]C(Oc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OCC1CCNCC1)c1ccccc1,2,12.0
8,8,CCC1(OC(=O)CN)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3,2,27.0
9,9,[CH]c1n[nH]c(C)c1Nc1nc(-c2ccccc2)[nH]c(=O)c1Br,2,4.5
10,10,[CH]Oc1cc(OC)cc(C(=O)Nc2ccc(OC(F)F)c(C#N)c2)c1,2,8.0
11,11,[CH]CN(Cc1ccc2c(c1)OCO2)C(=O)c1cc(C(C)C)on1,2,9.5
12,12,CCCCCCCCc1ccc(NC(=O)[C](CC(C)C)NC(=O)c2cnco2)cc1,1,9.0
13,13,[N+]#CC(=C(N)Sc1ccccc1N)c1ccccc1S,1,13.0
14,14,O=C1N[CH]c2ccc(NC(=O)c3cc(-c4cccc(Cl)c4)nc4ccc(-c5ccccc5)cc34)cc21,1,8.0
15,15,Fc1ccc([C@@H]2CC[C@@H]3CN(Cc4ccco4)C[C]32)cc1.O=C(O)C(F)(F)F,1,0.0
16,16,C=C1CC(C[C@]2(C)C[C@@H](Br)C(C)C[C@H]3OC(=O)[C]32)OC1=O,1,6.5
17,17,CC1=C(C(=O)N(C)C)CC(CC(=O)NCc2ccccc2F)c2ccccc2[S+]1=O,1,21.5
18,18,Cc1ccc2ccc(=O)n3c2c1[C@H](N)C[C@@H](CN1CC=C[C@@H]1C)[CH]3,1,4.5
19,19,CN(Cc1ccccn1)c1nc(SCCO)nc(-c2ccccc2)c1Oc1ccc(C#[N+])cc1Br,1,15.0
20,20,CC(=O)NC[C@H]1CN(c2ccc(C3C4C[S+](=O)CC43)c(F)c2)C(=O)O1,1,5.5
21,21,CC(C)=CC[C@@H]1C[C@]2(CC=C(C)C)C(=O)[C](C(=O)C(C(=O)c3ccc(O)c(O)c3O)=C2O)C1(C)C,1,4.0
22,22,Br.CCCCCCCCCCCCCC[S+](C)(C)C(CC(C)C)C(=O)OC,1,15.0
23,23,CCN1[CH]CC(O)(/C=C/c2ccc(C)cc2)CC1,1,2.5
24,24,COc1cc(NC(=O)C2C(c3ccc4c(c3)O[CH]O4)C(=O)[C@@]3(c4ccccc4)Oc4c(OC)c(OC)cc(OC)c4[C@H]23)cc(OC)c1OC,1,9.0
25,25,C=C1[C@H]2CC=C(C)[C@]3(C)CO[C@H]3[CH][C@H](OC(C)=O)[C@]2(C)[C@H](OC(C)=O)C[C@H]1OC(=O)/C=C/c1ccccc1,1,13.5
26,26,C[C@@H]1C[C](C(=O)N2Cc3nc(N[C@@H]4CCCC[C@@H]4C)ncc3C[C@H]2C(=O)OC(C)(C)C)CC(C)(C)C1,1,5.5
27,27,COc1cccc(CC(=O)NC(C)C2=NC=N[CH]2)c1,1,4.5
28,28,C1=[N+]C=c2ccc(-c3ccc4ccccc4c3)cc2=C1,1,10.0
29,29,CC1(CCl)[CH]OC(=O)[C@H](N)[C@]2(CO1)OCc1ccccc12,1,5.5
30,30,COc1nc(-c2cccc(-c3cccc(-c4ccc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)ccc1CNC[CH]C(=O)O,1,9.0
31,31,C=C1[C@@H](C/C=C2/CCC[C@@]3(C)[C]2CC[C@@H]3[C@H](C)CC/C=C(\C)C(=O)O)[C@@H]1CCC(C)C,1,7.5
32,32,CCCN(C)[C@@H]1[CH]c2c(O)cccc2CC1,1,4.5
33,33,C/C=C(\C)C(=O)O[C@H]1C(OC)C(C)(C)/C=C/[C@@](C)(OC(C)=O)[C@@H]2[C](C[C@H](C)[C@H]2OC(C)=O)/C(C)=C/[C@H]2OC(=O)[C@@](C)(O)[C@]21OC(C)=O,1,17.0
34,34,CC[C@@H]1C[C@H]2[C@@H]3C[CH]c4cc(O)c(O)cc4[C@H]3CC[C@]2(C)[C@H]1O,1,7.5
35,35,CC(C)[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N1CCN(C(=O)C2=CC3C=CC=C([N+](=O)[O-])C=CC=CC3C=[N+]2)CC1,1,30.0
36,36,CC1(C)CN(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2[CH][C@@H](OCC(N)=O)CCC2)S(=O)(=O)c2ccccc21,1,10.0
37,37,O=C(C1CCC1)N1CC[C@@]2(CCc3ccccc32)C12[CH]CN(C1CCCCC1)CC2,1,4.0
38,38,C[C@@H]1C[NH+]C[C@H]2[C@H](c3ccc(F)cc3)[C@@H](O[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CN12,1,11.5
39,39,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)Cc1cccc(C#[N+])c1,1,18.5
40,40,CC1(C)[C@@H](O[C@@H]2OC[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@H](O)[C@H]3O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@H]2C(=O)C=C2[C@@H]3C[C@@](C)(O[C@@H]4[CH][C@@H](O)[C@H](O)[C@@H](CO)O4)CC[C@]3(C)CC[C@]21C,1,0.0
41,41,C[S+](=O)(=O)c1nnn2c1nc(Nc1ccc(F)c(F)c1)c1sccc12,1,4.5
42,42,CC(C)(CO)CO.O=C(Nc1cn([C@@]23C[C@@H](CO)[C]4CN(C[C@H]42)C(=O)O3)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,1,0.0
43,43,C[C@@H]1CN(C2[CH]CN(C(C)(C)Cc3ccnc4ccccc34)CC2)C[C@H](C)O1,1,8.5
44,44,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3cc2Oc2ncc(-c4cnc(C5CCCN5C(=O)[C@H](NC(=O)OC)C(C)C)[nH]4)cc2-3)[nH]1)C(C)C,9,11.0
45,45,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@H](CC(=O)O)c1nc(C(=O)N[C@H](CCSCc2ccccc2)C(=O)O)c[nH]1,9,18.0
46,46,NC(=O)CCC(NC(=O)C(Cc1c[nH]c2ccc(O)cc12)NC(=O)OCc1ccc(C2C3CC4CC(C3)CC2C4)cc1)C(=O)NCC(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,9,10.5
47,47,OCC1O[C@@H](SCCCO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)C(n2cc(-c3cc4ccccc4o3)nn2)[C@H]1O,9,5.0
48,48,CCCCCCCCCCCCCCCCO/N=C(\COC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](O)[C@H](O)CCCCCCCCCCCC,9,8.0
49,49,CCCCCCCCCCCCCCCCCCCCCCCCCC[C@@H](OC)[C@H](O)[C@H](O)C[C@@H](O)[C@H](O)CCC[C@@H](O)CCC[C@@H](O)C[C@H](O)CCC[C@@H](O)CC1=C[C@H](C)OC1=O,9,8.5
50,50,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3cccc(-c4cnc([C@@H]5CCCN5C(=O)[C@H](NC(=O)OC)C(C)C)[nH]4)c3)cc2)[nH]1)C(C)C,9,10.0
