,Unnamed: 0,smiles,cluster_id,score
4,4,COc1cc(C2C[N+]C3([O-])CCC2CC3)ccc1N1CC[C@@H]2OCCN=C21,2,26.0
7,7,[CH]C(Oc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OCC1CCNCC1)c1ccccc1,2,12.0
8,8,CCC1(OC(=O)CN)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3,2,27.0
13,13,[N+]#CC(=C(N)Sc1ccccc1N)c1ccccc1S,1,13.0
17,17,CC1=C(C(=O)N(C)C)CC(CC(=O)NCc2ccccc2F)c2ccccc2[S+]1=O,1,21.5
19,19,CN(Cc1ccccn1)c1nc(SCCO)nc(-c2ccccc2)c1Oc1ccc(C#[N+])cc1Br,1,15.0
22,22,Br.CCCCCCCCCCCCCC[S+](C)(C)C(CC(C)C)C(=O)OC,1,15.0
25,25,C=C1[C@H]2CC=C(C)[C@]3(C)CO[C@H]3[CH][C@H](OC(C)=O)[C@]2(C)[C@H](OC(C)=O)C[C@H]1OC(=O)/C=C/c1ccccc1,1,13.5
33,33,C/C=C(\C)C(=O)O[C@H]1C(OC)C(C)(C)/C=C/[C@@](C)(OC(C)=O)[C@@H]2[C](C[C@H](C)[C@H]2OC(C)=O)/C(C)=C/[C@H]2OC(=O)[C@@](C)(O)[C@]21OC(C)=O,1,17.0
35,35,CC(C)[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N1CCN(C(=O)C2=CC3C=CC=C([N+](=O)[O-])C=CC=CC3C=[N+]2)CC1,1,30.0
38,38,C[C@@H]1C[NH+]C[C@H]2[C@H](c3ccc(F)cc3)[C@@H](O[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CN12,1,11.5
39,39,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)Cc1cccc(C#[N+])c1,1,18.5
44,44,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3cc2Oc2ncc(-c4cnc(C5CCCN5C(=O)[C@H](NC(=O)OC)C(C)C)[nH]4)cc2-3)[nH]1)C(C)C,9,11.0
45,45,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@H](CC(=O)O)c1nc(C(=O)N[C@H](CCSCc2ccccc2)C(=O)O)c[nH]1,9,18.0
