,Unnamed: 0,smiles,cluster_id,score
0,0,CC[C@@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC(=O)O)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)O,6,4.0
1,1,CCCCCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)NCCCC[C@H](NC(=O)CC[N+](C)(C)CCCCCCCCCCCCCCCCCC)C(=O)NCCC[N+](C)(C)CC(=O)OCC,6,14.5
2,2,CC(C)CC(NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)O)C(O)CC(C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,6,15.0
3,3,CCOP(=O)(OCC)OCCCCCCCC(=O)OCCCCOCCCCOP(=O)(OCC)OCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,6,2.0
4,4,CCCCS(=O)(=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CCSC)NC(=O)C(Cc1ccc(O)cc1)NC(=O)c1cc(-c2ccc(Cl)cc2Cl)no1,6,10.0
5,5,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CO)C(=O)N1CCC[C@H]1C(=O)N1CCC(C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)C(=O)O)CC1,6,16.5
6,6,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)(O)OC[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](F)[C@@H]1O)[C@H](O)CP(=O)(O)O,6,11.0
7,7,NCCC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cccc3ccccc23)CCCC1,6,17.0
8,8,CCCCCCCCCCCCCCCCCCCCCOCCSCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,6,12.5
9,9,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)CO[C@@H]1O[C@H](CO[C@@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1O,6,3.0
10,10,CC(C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)COc1cc2ccccc2cc1C(=O)NC(CC(=O)O)CC(=O)O)C(C)C)C(C)C)C(=O)O,6,7.5
11,11,CCCCCCCCCCCCC/C=C/C(O)[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](O)CCCCCCCCCCCCCCCCC,6,8.0
12,12,C=C(C(N)=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(N)=O)C(C)C,6,8.5
13,13,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)c1cc(O)ccc1O)C(=O)NC(Cc1c[nH]cn1)C(=O)N1CCCC1C(=O)O,6,12.5
14,14,CCC(NC(=O)[C@H](CCSC)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccc(/C=C2\SC(=O)N(C(C)C)C2=O)cc1)C(N)=O,6,4.0
15,15,CCCC/C=C\CC/C=C\CCCCCCCC(=O)NC(/C=C/C=C\C/C=C\C/C=C\CCCCC)CCCC(=O)OC,6,0.0
16,16,CCCCCCCCCCCCCCCCCCCCCCCCCC[C@@H](OC)[C@H](O)[C@H](O)C[C@@H](O)[C@H](O)CCC[C@@H](O)CCC[C@@H](O)C[C@H](O)CCC[C@@H](O)CC1=C[C@H](C)OC1=O,6,7.5
17,17,CC(=O)NC1C(O)CC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)OC1C(O)C(O)COCCOCCOCCOCCNc1ccc(Cl)c(Cl)c1,6,2.0
18,18,CCCCCCC[P+](CCCCCC)(CCCCCCC)CCCCCCCCCC[P+](CCCC)(CCCCSC[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CCC([C@H]1C)[C@@]24OO3)Cc1ccccc1.[Br-].[Br-],6,0.0
19,19,CN(C(=O)[C@H](CCCNC(=N)N)NCCC1CCNCC1)[C@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1ccc2ccccc2c1)C(N)=O,6,12.0
20,20,CCC(NC(=O)C(CC(C)C)NC(CO)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O,6,17.0
21,21,N=C(N)N1CC(C(=O)NCCC(=O)N2C[C@@H](N)C[C@H]2C(=O)NCC(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CC(=O)O)C(=O)O)C[C@@H](N)C1,6,13.0
22,22,C=C(COC/C=C/C=C(C)CC/C=C(\C)C(=O)NC[C@@H](OC(C)=O)C(=O)OCCOCC/C=C/CCCCCCCCCCC)[C@@H](O)CC[C@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4C[C@H](OC)CC[C@]4(C)[C@H]3CC[C@]12C,6,0.0
23,23,CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCCCCNC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NC(CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(N)=O,6,17.5
24,24,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(C)=O,6,19.5
25,25,CCC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(CO)C(=O)Nc1nn[nH]n1,6,10.0
26,26,CCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(N)=O)[C@@H](C)O)[C@@H](C)O,6,12.0
27,27,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](N)[C@H](C)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)C(C)C,6,11.0
28,28,CCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCC)C(CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OCCCCCCCCCCCCCC,6,6.0
29,29,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,6,17.5
30,30,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)CN1CCC[C@H]1c1ccccc1)C(C)C)C(=O)N[C@@H](CO)C(=O)O,6,5.0
31,31,CC(Cc1ccc(OCC(=O)NCCCCCCCNC(=O)NCCCCCCCNC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]32)cc1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12.Cl,6,0.0
32,32,CSCC[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(N)=O)[C@@H](C)O,6,11.5
33,33,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)O,6,12.5
