,Unnamed: 0,smiles,cluster_id,score
1,1,CCCCCC/C=C\CCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(N)C1OC1OC(COC(C)=O)C(O)C(O)C1O)C(O)C(O)c1cccnc1,13,11.0
2,2,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,13,11.0
6,6,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O,13,12.5
16,16,CCOc1c(O)cccc1CNCCCCCCCNCCSSCCNCCCCCCNCCCCCCNCc1c(OC)cccc1OC,95,20.0
17,17,CCCCCCCCCCCCCCC[C@H](C[C@@H](O)[C@@H](O)CCCCNC(=O)CCc1ccccc1)OC(=O)c1ccccc1,95,11.0
25,25,CCC(C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCCSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,65,11.0
32,32,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OCC(O)COP2(=O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O2)[C@@H](O)[C@H]1O,50,13.5
36,36,NC(=O)c1cn(C2OC(COP(=O)(O)CP(=O)(O)OCc3cn(CCCCCOc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)nn3)C(O)C2O)c2ncnc(N)c12,50,17.5
38,38,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,50,14.5
40,40,C=C(C)[C@]12C[C@@H](C)[C@@]34OC(c5ccc6ccccc6c5)(O[C@@H]1[C@@H]3C=C(COC(=O)Cc1cccc(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@@H]41)O2,36,14.0
42,42,CO[C@H]1/C=C/CCC[S@@](=O)(Nc2ncc(F)cn2)=NC(=O)c2ccc3c(c2)N(C[C@@H]2CC[C@H]21)C[C@@]1(CCCc2cc(Cl)ccc21)CO3,36,13.5
43,43,CC(C)CC1NC(=O)C(NS(=O)(=O)CCc2ccccc2)Cc2ccc(cc2)OCCCC(C=Cc2ccc(C(=O)Nc3nnn[nH]3)cc2)NC1=O,36,18.5
44,44,CC1CS(=O)(=O)NC(CNC(=O)N2CCC3(CC2)CCN(C(=O)OCc2ccccc2)CC3)Cc2ccc(cc2)OC(CN2CCC(N3CCCCC3=O)CC2)C(C)COC1=O,36,12.0
47,47,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c(OC)c3Oc3cc4c(cc3O)CCN(C)[C@H]4C2)CCN1C,36,11.0
49,49,C[C@@H]1CC(=O)N(CC(=O)Nc2nc(C(F)(F)F)cs2)C(=O)[C@H](CC(=O)NC(C)(C)C)Cc2ccc(cc2)OCCCC1C(=O)NO,36,11.5
53,53,CCC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N[C@@H](CN)C(=O)N[C@@H](CCSC)C(=O)O)[C@H](C)CC,23,14.5
57,57,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](C)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)O)C(C)C,23,16.0
58,58,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)CC,23,11.5
61,61,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N(C)S(C)(=O)=O)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,78,11.0
66,66,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC(=O)NNCCc2ccc(F)cc2)CC(C)C(=O)C(C)C2CN(S(=O)(=O)c3ccccc3)C(=O)C12C,78,13.5
70,70,CC(C)CCCC(C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](CCC=C(c5cc(Cl)c(O)c(C(=O)O)c5)c5cc(Cl)c(O)c(C(=O)O)c5)CC[C@]4(C)[C@H]3CC[C@]12C,42,11.5
71,71,CC[C@]1(NC(C)=O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,42,12.0
75,75,CC1(C)CN(C(=O)CCC(=O)O[C@H]2CCC3(C)[C@H](CCC4[C@H]5CC[C@@H]([C@@H](CO)N6CCN(c7ccccc7)CC6)[C@]5(C)CC[C@@H]43)C2)CCO1,42,13.5
76,76,CCn1cccc(-c2ccc(C[C@H](NC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)CC[C@H](OC(=O)NCC(F)(F)F)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]3(C)CC4)C(=O)O)cc2)c1=O,42,17.0
77,77,CC(C)CC1NC(=O)C(CCCCN)N(C)C(=O)C(Cc2ccccc2)NC(=O)C(C2CC3CCC2C3)NC(=O)C(Cc2ccc(O)cc2)NC1=O,42,20.0
78,78,CCC(C)C(=O)O[C@H]1[C@H](O)[C@@]2(C)C(C[C@H](OC(=O)c3cccc(OC)c3)[C@]3(O)[C@@H]2CC(=O)[C@@]2(C)[C@H](c4ccoc4)CC[C@]32O)[C@]2(C)CC[C@H]([C@H](C)CCC(=O)O)O[C@@]12C,42,14.5
79,79,CC(C)C(=O)CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](n5cnc(C(=O)O)c5)CC45C[C@@]35CC[C@]12C,42,15.0
80,80,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1SC(=S)N(C)CCCCCCCNc1ncnc2c1cc(C)n2CCCCCCCC(=O)N1c2ccc(NC(=S)NCCCCCCN)cc2NC(=O)c2ccccc21,43,14.0
82,82,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,43,13.5
83,83,CC[C@H](C)[C@H](NC(=O)c1ccc2c(c1)nc1n2CCOC1)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1)C(C)C,43,14.5
84,84,COc1cc(OC)nc(Oc2ccc(Cn3cc(C(=O)NCCCCN(Cc4ccc(C)cc4)C(=O)CCCCCCCN(C)c4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)nn3)cc2)n1,43,13.5
85,85,CN1CCN(CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)NO)C(c2ccccc2)c2ccccc2)[C@@H](CC(=O)O)C1,43,18.5
87,87,CCOC(=O)COc1cc(OC2CCN(CCCN3c4ccccc4CCc4ccccc43)CC2)ccc1NC(=O)CCCC(=O)NCCOCCOCCOCCNS(=O)(=O)c1cccc2ccccc12,43,15.0
90,90,Nc1nc2c(ncn2C2O[C@H](COP(O)(=S)OP(O)(O)=S)[C@@H](O)[C@H]2O)c(=O)[nH]1,66,14.5
94,94,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)OP(=O)(O)CO[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)O2)c(=O)[nH]c1=O,66,13.5
98,98,O=C(O)CCOP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](O)[C@@H]1O,66,13.0
103,103,CCOP(=O)(C=CCOC(=O)NC(C(=O)N(C)C(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=CP(=O)(OCC)OCC)c1ccccc1)c1ccccc1)OCC,58,14.0
106,106,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(N)=O,58,15.5
108,108,CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)C(N)CS)C(OC(=O)CNC(=O)CNC(=O)C1CSSC1)[C@@H](C)O)C(=O)O,58,12.0
111,111,C=CCC[C@@H](Cc1ccc(F)cc1)C(=O)OC[C@@H](C)NC(=O)[C@@H](CC=C)CC(=O)N(CCO)Cc1ccccc1,14,17.0
112,112,CCCCCCCCCCCCOc1cccc(CCC(=O)Oc2cccc(C[n+]3csc(C)c3)c2)c1,14,14.5
113,113,CCCCCCCCCCC[C@H](CC(=O)OC)[C@@](C)(O)/C=C/c1cc(OC)c2c(c1)O[C@@H](C)[C@@H](c1ccc(OC)cc1)O2,14,11.5
121,121,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N1[C@H]2CCC[C@H](NC(=O)[C@@H](CCCCNC(=N)N)NC(C)=O)C(=O)NC[C@@H](Cc3ccccc3)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H]1CC2,25,13.5
124,124,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,25,19.0
125,125,Cl.Cn1c(=O)ccc2cnc(Nc3ccc(N4CCN(CCCCCC(=O)NCC#CCOc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)nc21,25,14.5
126,126,O=C1c2cc(C=Cc3ccc4ccccc4c3)c(O)c(-c3ccc4c(c3)OCO4)c2C(=O)c2c(O)c3c(c(O)c21)C(c1ccc(O)c(O)c1)C(C(=O)O)C(CO)C3O,25,16.0
128,128,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,25,12.5
129,129,C=CC(=O)N1CC[C@@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,25,11.0
133,133,C#CCCNC(=O)c1cc(C(=O)N2CCN(C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)O[C@@H]3CO[C@H]4OCC[C@H]43)[C@H](C(=O)NC(C)(C)C)C2)cc(C(F)(F)F)c1,10,13.5
135,135,COc1cc(/C=C/C(=O)OC[C@H]2O[C@@H](Oc3cc4c(c(C)c3OC)CC[C@H](C)[C@@H]4c3cc(OC)c(O)c(OC)c3)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O,10,18.0
152,152,COc1ccccc1NC(=O)NCCCC[C@@H](C[C@H](C)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)OC(C)(C)C)C(C)C)S(C)(=O)=O,83,12.5
156,156,CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C1CCCN1C(=O)C(N)CCCN=C(N)N)C(=O)NC(CC(C)C)C(=O)O,83,11.5
158,158,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(O)CC1CCCN1C(=O)C(C)(C)C,83,11.5
159,159,CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O,83,12.5
161,161,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)c6ccc(Cl)cc6Cl)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,46,11.0
164,164,CC[C@@](O)(C(=O)OC[C@]12CCC(C)=C[C@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)C,46,13.0
165,165,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C/C(=N\O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,46,14.5
166,166,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)COc1cccc2ccccc12)B1OC2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,46,15.0
169,169,CC1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(OC(=O)C=Cc6ccccc6)C(C)(C)C5CCC43C)C2C1,46,11.5
170,170,NCCCCC(NC(=O)C(CC(N)=O)NC(=O)OCc1ccccc1)C(=O)c1nccs1,53,17.0
173,173,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NS(=O)(=O)Cc1ccccc1)C(=O)NO)C(C)(C)C,53,15.0
174,174,CC(C)(C)C(=O)SNCCCCNC(=O)/C(Cc1ccc(NS(C)(=O)=O)cc1)=N/O,53,12.5
181,181,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccc(O)cc2)C(N)=O)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCC=O)SC1(C)C,7,13.0
182,182,CC(C)CC1C(=O)N(Cc2cccc(OCCCC(=O)NC(C(=O)C(F)(F)F)C(C)C)c2)C(CC(F)(F)F)C(=O)N1Cc1cccc(C(=O)C(F)(F)F)c1,7,17.0
183,183,CCCC(NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C1CCCCC1)C2(C)C)C(=O)C(=O)NCC(=O)N[C@H](C(=O)OCOC(=O)C(C)(C)C)c1ccccc1,7,11.0
188,188,Cc1c(O)cccc1C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)N(CC(N)=O)Cc1ccccc1,7,23.0
189,189,CCC[C@H](N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)N[C@H](CC1CCCCC1)C(=O)C(=O)NCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccccc1,7,12.0
195,195,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H]4[C@@](C)(O)CCC[C@]34C)[C@H](O)C(=C(C)C)C1[C@H]2O,17,11.0
196,196,C[C@@H]1C[C@]2(O[C@@H]3O[C@H]2C=C3CO)[C@H](C)C12O[C@@]1(C)C[C@H](O)[C@@H](OC(=O)c3ccccc3)C(C)(C)[C@@H]1CC2=O,17,13.5
