,Unnamed: 0,smiles,cluster_id,score
3,3,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,1,12.5
7,7,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1,1,11.5
10,10,CN(C)c1nn2cc(-c3cccc(Cl)c3)nc2s1,1,11.5
11,11,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3ccc(CC(O)Cc4c(F)c(F)c(F)c(F)c4F)cc3)CC2)c2ccc(F)cc2)cc1,1,17.0
12,12,COc1cc(C(=O)NCCCN2CCCC2)ccc1Nc1nccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)c(C(C)(C)C)c3)c3ccccc23)n1,1,12.0
13,13,CC(C)CCNC(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(=N)[nH]c4)nc(N4CCOCC4)nc32)C1,1,14.5
15,15,Cc1cc(N)nn1Cc1cc(-c2ccccc2)ccc1F,1,13.5
20,20,COC(=O)C(NC(=O)CCNC(=O)c1cccs1)c1cccs1,1,11.5
21,21,Cc1ccc(NC(=O)N2CCc3cc(F)ccc3C2)cc1,1,11.5
22,22,Cc1ccsc1C=NNc1nc(-c2ccc(Br)cc2)cs1,1,13.0
23,23,O=C(N/N=C/c1ccc(OCc2cc(=O)cc(-c3ccccc3)o2)cc1O)c1ccncc1,1,13.0
26,26,Cc1cc(C)cc(N(Cc2nnc(CO)o2)C(=O)c2cnccn2)c1,1,11.0
35,35,CCNC(=S)N(C)N=Cc1cn(-c2ccc(Cl)cc2)nc1-c1cccc(OC)c1,1,13.5
37,37,CCc1ccc(C(N)C(=O)NCc2ccncc2)cc1,1,11.5
41,41,O=C1C2C(c3ccccc3)=NN(c3ccc(Br)cc3)C2C(=O)N1c1ccccc1,1,15.5
44,44,O=C(CN1CCN(Cc2ccc(COc3cncc(-c4ccccc4)c3)cc2)CC1)Nc1cccc(Cl)c1,1,12.5
46,46,Clc1ccc(-c2cc(Nc3ccc(N4CCCCC4)cn3)cnc2-c2cc(Cl)ccc2Cl)cc1,1,13.0
47,47,COc1ccc(CNC(=O)Cn2ccc(-c3ccc(F)cc3)n2)cc1OC,1,15.0
54,54,CCn1nc(CN2CCOCC2)nc1SCC(=O)Nc1ccc(C(C)C)cc1,1,11.0
58,58,O=C(N[C@@H](CCC(=O)N1C2CCC1CC(n1c(=O)cc(F)n(Cc3c(F)cccc3F)c1=O)C2)C(=O)O)OCc1ccccc1,1,15.0
60,60,COC(=O)c1cc2ccc(N(C)S(=O)(=O)N(C)C)cc2[nH]1,1,12.5
64,64,COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCCN(C)CC5)nc34)c2)cc1C(F)(F)F,1,11.5
68,68,C[C@]1(c2sc(C(=O)Nc3ccc(C#N)cc3Cl)cc2Cl)CS(=O)(=O)[C@]2(CCOC2)C(=N)N1,1,11.0
70,70,COc1cc(CCC(=O)NCc2ccccc2)c(N)c(OC)c1OC,1,11.5
76,76,CC(C)c1cc2c(c(O)c1O)C1(C)CCCC(C)(C(=O)O)C1C(O)C2,1,11.0
80,80,CCn1ncc(C2=NOC[C@H](Cc3ccc(F)cc3)N2)c1C,1,12.5
87,87,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)n2)cc1-c1cc(OCCO)nc(C2(CO)COC2)c1,1,11.0
88,88,Clc1ccccc1Cn1cc(-c2ccccc2)cn1,1,11.5
89,89,CCn1nc(SCC(=O)Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n(CC)c1=S,1,12.5
94,94,Cc1nc(C)c(-c2csc(Nc3ccc(C(=O)N4C5CCC4CN(c4cccnc4)C5)cn3)n2)s1,1,13.5
98,98,O=C(NCc1cc[nH]n1)Nc1ccccc1N1Cc2ccccc2C1,1,16.0
107,107,CN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)N(C)C(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1Cc1ccccc1,1,19.5
111,111,O=C(NCc1ccc(F)cc1)NCc1cccn(Cc2ccccc2)c1=O,1,20.0
115,115,O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCC(Oc3cccc(Cl)c3Cl)CC2)cc1Oc1cnc2[nH]ccc2c1,1,16.0
116,116,COc1cccc(N2C[C@@H](C(=O)NCc3ccccc3)N(C(=O)Cn3ccc(=O)[nH]c3=O)C2)c1,1,14.5
119,119,C[C@@H]1C[C@H](NC(=O)c2cc(C3CC3)on2)CN1S(=O)(=O)c1ccc(C#N)s1,1,14.5
128,128,COc1ccc2cc(CCC(=O)N3CCN(c4ccc(C#N)cc4)CC3)c(SC)nc2c1,1,13.0
129,129,CS(=O)(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc5c(c4)CNCC5)c3)nn2[C@H]2CC[C@H](O)CC2)C1,1,12.5
139,139,CC(C)[C@H](NC(=O)C[C@H](O)C(COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc([C@@H](O)COc2ccccc2)c1)C(=O)Nc1ccccc1,1,18.0
145,145,CN1CCN(C(=O)c2csc(-c3ccc4cc5c(cc4c3)OCO5)n2)CC1,1,11.5
146,146,NS(=O)(=O)c1ccc(C(Nc2nc3cc(Cl)ccc3o2)c2ccc([N+](=O)[O-])cc2)cc1,1,16.5
148,148,COc1ccccc1NC(=O)Nc1nc(-c2nc3cc(Br)ccc3o2)cs1,1,11.5
156,156,COC(=O)CCCNC(=O)c1c2c(n3cc(Br)ccc13)/C(=C/C1CCCCC1)C(=O)N2,1,12.0
157,157,Cc1cccc(NC(=O)CCc2nc(-c3ccccc3)no2)c1,1,12.5
159,159,COc1ccc2[nH]cc(CC(=O)N3CCc4ncsc4[C@@H]3c3ncc(F)cc3F)c2c1,1,11.0
166,166,C[C@H](CC1CCCCC1)C(=O)N1CCC(O)(Cn2cc(C(=O)N3CCOCC3)c(-c3ccccc3)cc2=O)C2(CCCC2)C1,1,12.5
173,173,COc1ccc2c(c1)[n+]([O-])c(C(=O)NN=Cc1cnc(C)cn1)c(C)[n+]2[O-],1,14.5
177,177,COc1ccc(S(=O)(=O)N2CCC(CCC(=O)Nc3ccc(Cl)c(Cl)c3)CC2)cc1,1,12.5
178,178,Cc1ccc(C2c3c(nc(N)[nH]c3=O)C(c3ccc(C)cc3)N3C(=O)CN(C4CCCCC4)C(=O)C23)cc1,1,13.5
179,179,Cn1cnnc1CC1(F)CCN(C(=O)c2cccc3c(-c4ccc(=O)n(C)c4)csc23)C1,1,12.5
181,181,CCc1cc(-n2ccc(C(=O)NCCCN3CCCCC3)n2)ccc1-c1cn[nH]c1,1,12.5
183,183,CCCNc1nc(Nc2ccc(OCC)cc2)nc(-n2c(C(F)(F)F)nc3ccccc32)n1,1,12.0
186,186,CCC(C)NC(=O)c1cc(=O)[nH]c2ccc(SCC(=O)NCc3ccccc3)cc12,1,12.5
196,196,CCN(Cc1ccccc1)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1c[nH]c(-c2ccccc2)n1)NC(=O)OC(C)(C)C,1,17.0
200,200,O=[N+]([O-])c1cccc(/C=N/Nc2cc([N+](=O)[O-])c(O)c(O)c2[N+](=O)[O-])c1,1,20.0
201,201,O=C(CNC(=O)c1cc(-c2ccc(O)cc2)c(O)cc1O)N[C@@H](Cc1ccccc1)C(=O)N1CCN(C(=O)c2csc(-c3ccc(C(CCc4ccccc4)n4ccnc4)cc3)n2)CC1,1,21.5
202,202,COc1ccc(-c2cc(C(=O)Nc3ccc(-c4ccccc4)cc3[N+](=O)[O-])c3ccccc3n2)cc1,1,12.5
203,203,O=C(/C=C/c1ccccc1)OC1CC2OC1CC(c1ccccc1)C21C(=O)N(Cc2ccccc2)c2ccccc21,1,16.0
204,204,CC(=O)N1N=C(c2ccc3nc(C)cc(N(C)CCCC(=O)NO)c3c2)CC1c1ccc(F)c(F)c1,1,13.5
210,210,N#CC(NC(=O)C1CCN(Cc2cc(NC(=O)c3cc(F)cc(F)c3)ccc2Cl)CC1)C1CC1,1,17.0
212,212,CC(=O)N[C@H]1CCN([C@H](CCC(=O)N[C@H]2c3ccccc3C[C@H]2O)C(=O)NCc2ccc(Cl)c(Cl)c2)C1,1,11.5
