,Unnamed: 0,smiles,cluster_id,score
2,2,[N+]c1ccccc1S(=O)(=O)n1cc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c2c([N+](=O)[O-])cccc21,7,11.0
4,4,[C]C(CCc1ccc(O)cc1)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)N1CCCC1C(=O)O,7,12.5
6,6,[N+]c1ccc(S(=O)(=O)N(Cc2ccc([N+](=O)[O-])cc2)Cc2ccc([N+](=O)[O-])cc2)cc1,7,28.5
7,7,N#C[Se]C(=C\c1cc([N+])c(O)c(O)c1)/C=C/c1ccc(OCc2ccc([N+](=O)[O-])cc2)c(OCc2ccc([N+](=O)[O-])cc2)c1,7,31.5
8,8,[N+]c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1,7,13.5
10,10,[C-][N+]c1cn2c(n1)OCC(OCc1ccc(-c3ccc(OCCC)c([N+](=O)[O-])c3)nc1)C2,3,25.5
11,11,[C-][N+]c1cn2c(n1)OCC(OCc1ccc(-c3ccc(F)cc3)cc1)C2,3,29.0
12,12,[C-][N+]c1ccc2c(n1)OC1(CCOCC1)CN(Cc1cc([C@@H](CC(=O)O)c3ccn4c(C(F)F)nnc4c3C)ccc1C)S2(=O)=O,3,34.0
13,13,[C-][N+]c1cn2c(n1)OCC(OCc1ccc(-c3ccc(OCC)nc3)cn1)C2,3,15.5
15,15,[C-][N+]c1cn2c(n1)OCC(OCc1ccc(-c3ccc(OC)c(F)c3)cn1)C2,3,15.5
16,16,[C-][N+]c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(N4C[C@@H](C)O[C@@H](C)C4)nc3)cn1)C2,3,21.5
17,17,[C-][N+]c1cn2c(n1)OCC(OCc1ccc(-c3cccc(OC)c3)cc1)C2,3,22.0
18,18,[C-][N+]c1ccc2c(n1)OC1(CCOCC1)CN(Cc1cc([C@H](CC(=O)O)c3ccc4c(nnn4C4CC4c4cccc(F)c4)c3C)ccc1C)S2(=O)=O,3,17.5
19,19,[CH][C@]12[C]O[C@H]1C[C@@H]1[C@H]3[C@H](C(=C)C)CC[C@]3(C(=O)OCCn3cc(N=[N+]=[N-])c(N=[N+]=[N-])n3)CC[C@]12C,3,32.5
20,20,[CH][C@]12CO[C@@H]1C[C@@H]1[C@H]3[C@H](C(=C)C)CCC3(C(=O)OCCn3cc(N=[N+]=[N-])cn3)CC[C@]12C,66,20.0
21,21,[CH][C@]12CO[C@H]1C[C@@H]1[C@H]3[C@H](C(=C)C)CCC3(C(=O)OCC3O[C@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3N=[N+]=[N-])CC[C@]12C,66,11.0
22,22,[CH][C@]12CO[C@H]1C[C@@H]1[C@H]3[C@H](C(=C)C)CCC3(C(=O)OCC3O[C@H](n4cc(C)c(=O)n(CCBr)c4=O)C[C@@H]3N=[N+]=[N-])CC[C@]12C,66,27.0
23,23,[CH][C@]12CO[C@H]1C[C@@H]1[C@H]3[C@@H](C(=C)C)CCC3(C(=O)OCCn3cc(N=[N+]=[N-])c(N=[N+]=[N-])n3)CC[C@]12C,66,29.0
25,25,[CH][C@]12CO[C@H]1C[C@@H]1[C@H]3[C@H](C(=C)C)CC[C@]3(C(=O)OCCn3cc(CCCCCCCOc4ccc(C(=O)Oc5ccc(N=[N+]=[N-])cc5)cc4)nn3)CC[C@]12C,66,12.0
26,26,[CH][C@]12CO[C@H]1C[C@@H]1[C@H]3[C@@H](C(=C)C)CC[C@]3(C(=O)OCCn3cc(N=[N+]=[N-])c4c([N+](=O)[O-])cccc43)CC[C@]12C,66,22.0
28,28,[CH][C@]12CO[C@H]1C[C@@H]1[C@H]3[C@H](C(=C)C)CCC3(C(=O)N3CCN(C(=O)/C(=N/OCc4ccc([N+](=O)[O-])cc4)c4ccc(N=[N+]=[N-])c([N+](=O)[O-])c4)CC3)CC[C@]12C,66,39.5
30,30,[CH][C@]12CO[C@H]1C[C@@H]1[C@H]3[C@@H](C(=C)C)CC[C@@]3(C(=O)OCCn3cc(N=[N+]=[N-])c(N=[N+]=[N-])n3)CC[C@]12C,66,25.5
31,31,N#[N+]c1cccc(S(=O)(=O)NCCCCN=C=S)c1,36,11.0
33,33,N#[N+][C@@H]1C[C@@](N=[N+]=[N-])(c2cc(N=C=S)ccc2N=[N+]=[N-])C[C@H]1C(=O)N1CCC(O)(c2ccccc2)CC1,36,19.0
34,34,N#[N+]c1cc([N+](=O)[O-])c2scc(CCCN3CCC(c4c[nH]c5ccc(N=C=S)cc45)CC3)c2c1,36,22.5
36,36,N#[N+]c1cc(N=NN(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])S(=O)(=O)c2ccc([N+](=O)[O-])cc2)ccc1NCCN=C=S,36,35.0
37,37,N#[N+]c1ccc(S(=O)(=O)n2cc(C[C@@H]3C[C@H](N=C=S)[C@@H](CO)O3)c3ccccc32)cc1,36,13.0
38,38,N#[N+]c1cc([N+](=O)[O-])c(Oc2ccnc(Nc3ccc(CNC(=O)CCCN=C=S)cc3)n2)c([N+](=O)[O-])c1,36,21.0
39,39,N#[N+]c1cc(-c2ccnc(Nc3ccc(N=C=S)cc3)n2)cnc1N1C[C@@H](F)[C@@H](O)C1,36,26.5
40,40,N#[N+]c1cc([N+](=O)[O-])ccc1NCCCC(N=C=S)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,36,24.0
42,42,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)NCc2ccc([N+](=O)[O-])cc2Cl)c1,93,24.5
43,43,O=NCc1n(CCF)cc[n+]1CC(=O)c1ccc([N+](=O)[O-])cc1,93,32.5
44,44,N[N+](=O)c1cc([N+](=O)[O-])c(NCc2ccccc2O)c([N+](=O)[O-])c1,93,13.0
45,45,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccc(O)cc1)N=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,93,12.5
46,46,CC(N=O)c1ccc(OCCNS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,93,29.0
47,47,N[N+](=O)c1ccc(C2NC3(CCCCC3)C(=O)N2c2ccc([N+](=O)[O-])cc2)cc1,93,12.0
50,50,CC(CN1CCN(c2ccc([N+](=O)[O-])cc2)CC1)(CN1CCCCC1Cn1c(=O)c2cccc3c2n(c1=O)CC3)N=O,93,38.5
