,Unnamed: 0,smiles,cluster_id,score
0,0,C=C1[C@H]2[C@H](O[C@@H](c3ccc(N(CC)CC)cc3)C[C@@H]2O)[C@H]2[C@@H](C)[C@@H](OC(=O)CC(C)C)[C@H]3O[C][C]3[C@]2(C)[C@@H](OC(C)=O)[CH][C@H]1OC(C)=O,3,16.5
1,1,CCCC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC(C)=O)C[C@H]3OC[C][C@@]3(OC(C)=O)[C@H]2[CH][C@H](OC(=O)c2ccccc2)[C@@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=S)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,4,0.0
2,2,[I-].[N+]Oc1ccc2c(c1)CCC2C(=O)NCCCCCNC(=O)c1ccccc1NC(=O)c1ccc([N+](=O)[O-])cc1,4,31.5
3,3,C=C1[C@@H](OC(C)=O)[CH][C]2C(=O)[C@H](C)C[C@H](OC(C)=O)[C@H]2[C@H](C)[CH][C@H](OC(C)=O)[C@H]1OC(=O)/C=C/c1ccccc1,4,9.5
4,4,C=C1[C@@H]2[C@@H](OC(C)=O)CC(=O)C(C)(C)[C]3CO[C@H]3[CH][CH][C@H](OC(C)=O)[C@]2(C)[C@H](OC(C)=O)C[C@H]1OC(=O)/C=C/c1cccnc1,4,13.5
5,5,[CH][C@]1(C)CCC[C@H](OC(C)=O)C1[C@H]1C[C@H](OC(C)=O)C2(C)[C]3[C@@H]4C[C@H]5C(C)(C)O[C@@]5(C)C[C@H]4CC[C@@]3(C)[C@@H](OC(=O)[C@@H](O)[C@@H](CCC)C(=O)Nc3ccc(OC)cc3)C[C@@]12OC(C)=O,4,0.0
6,6,CC(C)[C@H]1C[C@H]2OC(=O)[C@]3(C)[C@H]4C[C@H]4[C@@](C)(O)[C@@H](O)[C@@]3(C)[C@@H](OC(=O)C(C)(C)C)[CH]C[C@H]3O[C]C1[C@@]32O,4,8.5
7,7,[C]C(CC(=O)O)N1Cc2ccc(NC(=O)NC3CCCCC3)cc2C1=O,4,5.5
8,8,C=C1C(=O)[C@@]23[C]4[C@H](C[CH][C@@H]1O)O[C@@H]2[C@H]3O[C@@]1(O)[C@H]4C(C)(C)C[CH][C@@H]1O,4,0.0
9,9,C/C=C(\C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@@H]2[C@](C)(C3=CC(=O)OC3(O)O)C[C][C@]2(COC(C)=O)[C@]23O[C]2[C@@H](OC(C)=O)[C@]2(C)C[C@@]1(O)[C@]32O,4,15.5
10,10,C=C1[C]2C[C@H](C)[C@@H](OC(C)=O)[C@]3([CH][CH][C@H](OC(C)=O)[C@@]2(C)[C@H](OC(C)=O)C[C@H]1OC(=O)/C=C/c1ccccc1)CO3,4,5.5
11,11,C/C=C(\C)C(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC(=O)c3cccc(C#N)c3)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[CH][C@H]2OC[C]C21,4,10.0
12,12,C=C1O[C@@H](C(C)(C)O)[C@H](O)C=C1C[C@]1(C)[C@@H](OC(C)=O)C[C][C@]2(C)C(=C)[C@H](OC(=O)/C=C/c3ccccc3)[C@@H](OC(C)=O)[CH][C@H]12,4,12.5
13,13,C=C(C)[C@H]1C(=O)c2c3c(cc4c5c(n1c24)[C@@]1(C)C(CC[C@H]2[C@](C)(COC(=O)CCC(=O)OC)[C@@H](O)[C@H](O)[C][C@@]21C)C5)C1=CC(C)(C)OC(C)(C)C1[C@@H]3O,2,8.5
14,14,CCC1(OC(=O)CNC(=O)c2ccccc2F)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3,2,13.5
15,15,CC[C@@]1(OC(=O)CNC(=O)COc2ccc(C(=O)OC)cc2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3,2,18.0
16,16,CCC1(OC(=O)CNCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3.[Cl-],2,0.0
17,17,C=C1[C@@H](OC(=O)C=Cc2ccccc2)C[C@H]2[C@@](C)([C]C[C@@H](OC(C)=O)[C@@]2(C)COC(C)=O)[C@@H]1C[C@H]1OC(=O)C[C@@H](OC(C)=O)[C@]1(C)COC(C)=O,2,13.0
18,18,CCC1(OC(=O)CNC(Cc2c[nH]c3ccccc23)C(=O)O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3,2,12.0
19,19,CC[C@]1(OC(=O)CN2CCN(CCOC(=O)Oc3ccccc3)CC2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCCO3,2,13.5
20,20,[CH]C1CN(c2cc(F)c(-c3ccc(=O)n(-c4ccc(OC(F)F)cc4)n3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)F)C[C@@H](C)N1C,2,9.0
21,21,CCC1(OC(=O)CCC(=O)O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3,2,21.0
22,22,O=C(c1ccc([N+](=O)[O-])cc1)N1[C][C@H](c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)[C@@H](c2ccc([N+](=O)[O-])cc2)C12C(=O)N(Cc1ccc([N+](=O)[O-])cc1)C2=O,2,76.5
23,23,CC[C@@]1(OC(=O)CN(C)C)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3,2,17.5
24,24,CCC1(OC(=O)CN/C(Cc2ccc(OC)cc2)=N/S(=O)(=O)c2ccc(C)cc2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3,2,27.0
25,25,[CH][C@@H]1[C@@H]2CO[C@]1([C@@H](OC(=O)c1ccccc1)C1[C@]3(C)CC[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(=O)[C@@]13C)C(C)(C)[C@@H](OC(=O)c1ccccc1)C(=O)C2(C)C,2,10.0
