,smiles
0,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
1,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
2,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
3,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
4,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
5,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
6,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
7,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
8,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
9,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
10,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
11,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
12,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
13,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
14,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
15,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
16,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
17,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
18,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
19,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
20,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5cccc(F)c5n3[C@H]4C(C)(C)c3nc(C(=O)OCC(F)(F)F)cs3)cc12
21,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
22,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
23,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
24,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
25,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
26,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
27,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
28,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
29,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
30,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
31,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
32,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
33,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
34,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
35,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
36,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
37,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
38,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
39,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
40,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
41,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
42,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
43,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
44,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
45,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
46,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
47,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
48,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
49,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
50,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
51,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
52,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
53,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
54,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
55,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
56,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
57,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
58,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
59,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
60,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
61,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
62,O=C(NCCC(O)c1ccco1)c1nc(-c2cccs2)no1
63,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
64,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
65,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
66,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
67,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
68,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
69,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
70,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
71,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
72,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
73,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
74,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
75,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
76,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
77,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
78,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
79,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
80,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
81,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
82,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
83,O=C(NCC1CCN(c2ncccn2)CC1)c1cccc(Cl)c1
84,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
85,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
86,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
87,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
88,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
89,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
90,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
91,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
92,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
93,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
94,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
95,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
96,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
97,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
98,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
99,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
100,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
101,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
102,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
103,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
104,COCC(=O)N1CCN(c2nc(N[C@@H]3CCOC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
105,C=C1/C(=C/C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)C[C@@H](C)COC(=O)/C=C/c4ccc(O)c(OC)c4)CC[C@@H]23)C[C@@H](O)[C@H](OCC(=O)O)[C@@H]1O
