,smiles
0,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
1,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
2,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
3,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
4,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
5,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
6,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
7,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
8,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
9,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
10,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
11,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
12,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
13,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
14,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
15,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
16,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
17,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
18,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
19,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
20,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2[C@@H](n3c(cc4cccc(F)c34)-c2n1)C(C)(C)c1nc(cs1)C(=O)OCC(F)(F)F)-c1ccc(F)cc1
21,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
22,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
23,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
24,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
25,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
26,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
27,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
28,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
29,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
30,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
31,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
32,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
33,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
34,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
35,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
36,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
37,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
38,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
39,CCc1cc(CN2CCC(F)(CN[C@H]3C[C@@H]3c3ccccc3)CC2)on1
