,smiles
0,CCCCCCCCC(=O)OC[C@H](NC(=O)[C@H](OC(=O)CCCC(=O)OC(C)C)[C@H](C)O[Si](c1ccccc1)(c1ccccc1)(c1ccccc1)C(C)(C)C)C(=O)OCC
1,COC(=O)c1ccc(OCc2ccccc2)c2c1C[C@H]1CN(Cc3cccnc3)CC[C]21
2,CC(C)(C)c1ccc(-c2c([N-])n(Cc3ccncc3)c3nc4ccccc4nc23)cc1
3,Cc1cn([C@H]2C[C@@H](N=[N+]c3cccc([N+](=O)[O-])c3)[C@@H](CO)O2)c(=O)[nH]c1=O
4,CNCC(O)COc1cccc(-c2nc(N[C@@H]3CC[CH]C3O)cc(N(C)CCN3CCOCC3)n2)c1
5,COC(=O)CC[C@H](C(=O)Nc1ccccn1)N1CC(=O)N(C)c2ccc(NC(=O)[CH]C3CCC(O)CC3)cc21
6,C[C@@H]1CN2c3c(cc4c(-n5cnnn5)noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
7,O=C1NC(=O)N(C2CC3CCC2C3)C(=O)C1=Cc1ccc([N+](=O)[O-])cc1
8,COc1ccccc1N1C(=O)NC(=O)C(=Cc2cn(CC(=O)O)c3ccccc23)C1=O
9,C[C@@H]1CN2c3c(cc4c(C5CN(C6COC6)C5)noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
10,O=C1NC(=O)N(c2cccc(-c3ccccc3)c2)C(=O)C1=NNc1ccccc1
11,Cc1nnc(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)s1
12,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCCN(C(=O)c3ccc4[nH]c(=O)c(C(=O)O)cc4c3)CC2)C(=O)N1
13,CCOCCC1(Oc2ccc(Oc3ccc(-c4nc(-c5cccs5)n(C)n4)cc3)c(F)c2)C(=O)NC(=O)NC1=O
14,Cc1ccccc1C(=O)CN1C(=O)C(=C2C=C(Cl)C(=O)c3ccccc32)C(=O)N(C2CCCCC2)C1=O
15,C[C@@H]1CN2c3c(cc4c(-n5cnnn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
16,CN1C(=O)C(=Cc2c[nH]c3ncccc23)C(=O)N(C)C1=O
17,C[C@@H]1CN2c3c(cc4c(-n5ncnc5C5CC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
18,O=C1NC(=O)C(=CNCCNCCN2CCNCC2)C(=O)N1
19,C[C@@H]1CN2c3c(cc4c(N5C[C@H](c6ccncc6)OC5=O)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
20,CC1CC(N=O)=NO1
21,O=Cc1cc(-c2ccc(O)c(Cl)c2)ccc1CN=O
22,O=c1[nH]c(-c2cccc([N+](=O)Cc3ccc(OC(F)F)cc3)c2)nc2ccccc12
23,CC(C(=O)O)n1cc[n+](C=C(C#N)C#N)c1CN=O
24,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCN=O)NC(C)=O)C(=O)N[C@H](C=O)CCCN=C(N)N
25,O=NS(=O)(=O)c1ccc(SCc2ccccn2)cc1
26,Cn1cc(-c2ccc3c(c2)CCC3N=O)c(-c2cc3occc3cc2Cl)n1
27,CC1=CCN(S(=O)(=O)c2cn(CC(N)=O)nc2-c2ccccc2)[N+]1=O
28,CN1CCCC(n2ncc3c(N=O)ncnc32)C1
