,smiles
0,CCCCCCCCC(=O)OC[C@H](NC(=O)[C@H](OC(=O)CCCC(=O)OC(C)C)[C@H](C)O[Si](c1ccccc1)(c1ccccc1)(c1ccccc1)C(C)(C)C)C(=O)OCC
1,COC(=O)c1ccc(OCc2ccccc2)c2c1C[C@H]1CN(Cc3cccnc3)CC[C@@]21
2,CC(C)(C)c1ccc(cc1)-c1c([N-])n(Cc2ccncc2)c2nc3ccccc3nc12
3,Cc1cn([C@H]2C[C@@H](N=[N+]\c3cccc(c3)[N+]([O-])=O)[C@@H](CO)O2)c(=O)[nH]c1=O
4,CNCC(O)COc1cccc(c1)-c1nc(N[C@@H]2CC[C@H]C2O)cc(n1)N(C)CCN1CCOCC1
5,COC(=O)CC[C@@H](N1CC(=O)N(C)c2ccc(NC(=O)[C@H]c3CC[C@H](O)CC3)cc12)C(=O)Nc1ccccn1
6,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3cc4c(noc4c(Cl)c23)-n2cnnn2)C(=O)NC(=O)NC1=O
7,O=C1NC(=O)C(=Cc2ccc(cc2)N(=O)=O)C(=O)N1C1CC2CCC1C2
8,COc1ccccc1N1C(=O)NC(=O)C(=Cc2cn(CC(O)=O)c3ccccc23)C1=O
9,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3cc4c(noc4c(Cl)c23)C2CN(C2)C2COC2)C(=O)NC(=O)NC1=O
10,O=C1NC(=O)C(=NNc2ccccc2)C(=O)N1c1cccc(c1)-c1ccccc1
11,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3cc4c(noc4c(F)c23)-c2nnc(C)s2)C(=O)NC(=O)NC1=O
12,O=C(N1CCCN(CC1)C1(C(=O)NC(=O)NC1=O)c1ccc(Oc2ccccc2)cc1)c1ccc2[nH]c(=O)c(cc2c1)C(O)=O
13,CCOCCC1(Oc2ccc(Oc3ccc(cc3)-c3nc(-c4cccs4)n(C)n3)c(F)c2)C(=O)NC(=O)NC1=O
14,Cc1ccccc1C(=O)CN1C(=O)N(C2CCCCC2)C(=O)C(C1=O)=C1C=C(Cl)C(=O)c2ccccc12
15,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3cc4c(noc4c(F)c23)-n2cnnn2)C(=O)NC(=O)NC1=O
16,CN1C(=O)N(C)C(=O)C(=Cc2c[nH]c3ncccc23)C1=O
17,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3cc4c(noc4c(F)c23)-n2ncnc2C2CC2)C(=O)NC(=O)NC1=O
18,O=C1NC(=O)C(=CNCCNCCN2CCNCC2)C(=O)N1
19,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3cc4c(noc4c(F)c23)N2C[C@@H](OC2=O)c2ccncc2)C(=O)NC(=O)NC1=O
20,CC1CC(N=O)=NO1
21,Oc1ccc(cc1Cl)-c1ccc(CN=O)c(C=O)c1
22,O=[N+](Cc1ccc(OC(F)F)cc1)c1cccc(c1)-c1nc2ccccc2c(=O)[nH]1
23,CC(C(O)=O)n1cc[n+](C=C(C#N)C#N)c1CN=O
24,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCN=O)NC(C)=O)C(=O)N[C@@H](CCCN=C(N)N)C=O
25,O=NS(=O)(=O)c1ccc(SCc2ccccn2)cc1
26,Cn1cc(c(n1)-c1cc2occc2cc1Cl)-c1ccc2C(CCc2c1)N=O
27,CC1=CCN(S(=O)(=O)c2cn(CC(N)=O)nc2-c2ccccc2)[N+]1=O
28,CN1CCCC(C1)n1ncc2c(N=O)ncnc12
