,smiles
0,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCCCCCCCCCCCCCCCCN=[N+]=[N-])C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC
1,CC(=O)N[C@H]1Cc2cc(C)c(c(N=[N+]=[N-])c2O)C[C@@H](C)NC1=O
2,CCCCCC(=O)OC[C@@H](CNC(=O)c1cc(OC)c(OC)c(OC)c1)N=[N+]=[N-]
3,CCC[C@H](NC(=O)[C@H](CCCN=[N+]=[N-])NC(=O)[C@@H]1C[C@H](OCc2cccc3ccccc23)CN1C(=O)[C@@H](NC(=O)c1nonc1C)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
4,[N-]=[N+]=N[C@H]1O[C@H](c2ccccc2O)[C@@H](O)[C@H](O)[C@H]1O
5,[N-]=[N+]=NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O
6,[N-]=[N+]=Nc1cc(O)c(C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)cc1O
7,[N-]=[N+]=Nc1c(F)c(F)c(F)c(NC(=O)C(=O)O)c1F
8,[N-]=[N+]=NCCCCCCCCCCN1CCN(c2ccc3c(c2)c(C(N)=O)nn3CC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cccc(Cl)c2F)CC1
9,CC(C)C[C@@H](C=O)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-]
10,COc1cccc(N=[N+]=[N-])c1
11,CC(C)[C@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)N[C@@H](Cc1ccccc1)C(N)=O
12,C[N+](C)(CCCCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2CC1O)CCCN=[N+]=[N-]
13,C=CCNC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)oc2cc(N=[N+]=[N-])c(C#N)cc12
14,[N-]=[N+]=NC[C@H]1O[C@@H](n2ccc3c(NCCO)ncnc32)[C@H](O)[C@@H]1O
15,[N-]=[N+]=NCCCCNCCCCCCCCCCCCCCNCc1ccccc1
16,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)N=[N+]=[N-])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)c1ccccc1
17,Cc1c[nH]c(N(C)C[C@H](O)c2ccc(N=[N+]=[N-])cc2)n1
18,[N-]=[N+]=Nc1ccc(O)cc1
19,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H](COP(=O)(O)O)C(=O)N[C@@H](CCC(=O)O)C(N)=O)C(C)C
20,O=c1[nH]/c(=N\OCCCc2ccccc2)ccn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
21,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)NCCCNC(=O)[C@H](NC(=O)CCCCC2(NC(=O)Cc3ccccn3)CCCCC2)C(=O)O)[C@@H](O)[C@H]1O
22,Nc1ncnc2c1ncn2[C@H]1[C@@H](O)[C@H]2O[C@H]2[C@@]2(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C[C@H]12
23,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F
24,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
25,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cc/c(=N/OCc2ccc(F)cc2)[nH]c1=O
26,Cc1cn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O
27,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@H]2O)c(=O)[nH]1
28,O=c1cc(-c2ccccc2)nc2n1CCO[C@@H]2COP(=O)(O)OP(=O)(O)OP(=O)(O)O
29,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1
30,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](OC/C=C4\CCC[C@H](O)C4)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
31,CCS(=O)(=O)n1c(=O)nc(N)c2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
32,NC(=O)c1csc([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cc(C=O)c(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)n1
33,Nc1ncnc2c1c(O)c(C=O)n2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
34,CCCNc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1OP(=O)(O)O
35,Cc1cn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O
36,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)([O-])O[C@H]4[C@H](F)[C@H](n5cnc6c(=O)[nH]cnc65)O[C@@H]4COP(=O)([O-])O[C@@H]2[C@@H]3O)c(=O)[nH]1
37,O=P(O)(O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OP(=O)(O)O
38,Nc1ncnc2c1ncn2C1CC(OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
39,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H](F)[C@H](n5cnc6c(=O)[nH]cnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1
40,O=c1ncc(-c2ccccc2)cn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
41,COc1ccc(NC(=S)N[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)cc1
42,CCOc1ccc2c(c1)C(c1ccc(OC)cc1)=N[C@@H](COCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1nnc(C)n1-2
43,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCNCCCC[C@@H](NC(=S)SC[C@H](N)C(=O)O)C(=O)O)C(=O)O
44,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)NCCOCCOCCOCCOCCOCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O
45,CCN(C(=O)CCC(=O)OCCOCCOCCOCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)C1CC(C)C(O)C(CNCc2ccc(OC)c(Oc3ccccc3)c2)O1
46,CCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
47,Cc1c(Cc2csc(NCCOCCOCCOCCOCCOc3ccc(CCOc4cc(C(=O)O)cc(-c5cccc(CC(=O)O)c5)c4)cc3)n2)nc2cc(F)c(F)cc2c1C(=O)NS(C)(=O)=O
48,COCCOCCOCCOCCOCCOCCOCCN1C[C@H](C)NC(=O)c2ccc(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)cc21
49,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCOCCOCCOCCOCCOCc3ccc(C4CCCCC4)c(C(=O)NCc4ccc(F)cc4)c3)S(C)(=O)=O)c(C3CC3)cc12
50,CCN(CC1CC1)C(=O)COC(=O)c1cnc(Nc2ccc(C#N)cc2)nc1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc1cc(OC)cc2c1C(=O)C(=O)N(C(C)C)C2
51,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOCCOCCOCCOCCOCCNC)cc3)ncc2Cl)c1
52,O=C(NCCOCCOCCOCCOCCn1cc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)nn1)c1ccc(C(=O)N2CCC2)cc1
53,N[C@@H](Cc1ccccc1)CN1CCC[C@H]1C(=O)NCc1ccc(OCCCOCCOCCCOCCNC(=O)CCC2CCCCC2)cc1
54,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNS(=O)(=O)c1ccc(NC(=O)c2cnc(N)nc2)cc1
55,O=C(Nc1cc(C(=O)N2CCCC2)n(CCOCCOCCOCCOCCOc2cccc(CC(=O)N3CCNC(=O)C34CC4)c2)n1)c1cnc(Cl)c(C(F)(F)F)c1
56,N#Cc1ncc2c(c1OCCCCOc1ccc(OCCOCCOCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc1)C(=O)C(=O)N2
57,COCCOCCOCCOCCOCCOCCOc1ccc(Nc2ccc3c(c2)CN(c2ncc(C4CCN(C(=O)OC(C)(C)C)CC4)cn2)C3=O)cc1OC
58,CCCCCCCCCCCCCCCCCSCCOP(=O)(O)COCCn1cc(CN[C@@H](Cc2cnc[nH]2)C(=O)O)nn1
59,O=C(CCc1ccc(-c2csnn2)cc1)NCCOCCOCCOCCOCCn1cc(-c2ccc(CNc3ncccc3C(=O)NCC3(O)CCCCC3)s2)cn1
