,smiles
0,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)CCCCCCCCCCCCCCCCCN=[N+]=[N-])C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O
1,C[C@@H]1Cc2c(C)cc(C[C@H](NC(C)=O)C(=O)N1)c(O)c2N=[N+]=[N-]
2,CCCCCC(=O)OC[C@@H](CNC(=O)c1cc(OC)c(OC)c(OC)c1)N=[N+]=[N-]
3,CCC[C@H](NC(=O)[C@H](CCCN=[N+]=[N-])NC(=O)[C@@H]1C[C@@H](CN1C(=O)[C@@H](NC(=O)c1nonc1C)C(C)C)OCc1cccc2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
4,Oc1ccccc1[C@H]1O[C@H](N=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O
5,N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN=[N+]=[N-])[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@H]1O
6,NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)c(cc1O)N=[N+]=[N-])C(O)=O
7,OC(=O)C(=O)Nc1c(F)c(F)c(F)c(N=[N+]=[N-])c1F
8,NC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccc(cc12)N1CCN(CCCCCCCCCCN=[N+]=[N-])CC1
9,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C=O
10,COc1cccc(c1)N=[N+]=[N-]
11,CC(C)[C@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1ccccc1)N=[N+]=[N-])C(=O)N[C@@H](Cc1ccccc1)C(N)=O
12,C[N+](C)(CCCCCCCC[N+](C)(C)CCCN1C(O)Cc2ccccc2C1=O)CCCN=[N+]=[N-]
13,C=CCNC(=O)c1c(oc2cc(N=[N+]=[N-])c(cc12)C#N)-c1ccc(Oc2ccccc2)cc1
14,OCCNc1ncnc2n(ccc12)[C@@H]1O[C@H](CN=[N+]=[N-])[C@@H](O)[C@H]1O
15,[N-]=[N+]=NCCCCNCCCCCCCCCCCCCCNCc1ccccc1
16,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(F)cc1)N=[N+]=[N-])C(=O)N[C@@H](C)c1ccccc1
17,CN(C[C@H](O)c1ccc(cc1)N=[N+]=[N-])c1nc(C)c[nH]1
18,Oc1ccc(cc1)N=[N+]=[N-]
19,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OP(O)(O)=O)cc1)NC(C)=O)C(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H](COP(O)(O)=O)C(=O)N[C@@H](CCC(O)=O)C(N)=O
20,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1cc\c(=N\OCCCc2ccccc2)[nH]c1=O
21,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)NCCCNC(=O)[C@H](NC(=O)CCCCC2(CCCCC2)NC(=O)Cc2ccccn2)C(O)=O)[C@@H](O)[C@H]1O
22,Nc1ncnc2n(cnc12)[C@@H]1[C@H]2C[C@]2(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H]2O[C@@H]2[C@@H]1O
23,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)n1cc(F)c(=O)[nH]c1=O
24,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
25,C[C@@]1(O)[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]1n1cc\c(=N\OCc2ccc(F)cc2)[nH]c1=O
26,Cc1cn([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O
27,O[C@H]1[C@@H](O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H]1O)n1ccc(=O)[nH]c1=O
28,OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]1OCCn2c1nc(cc2=O)-c1ccccc1
29,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@@H]2COP(O)(=O)O[C@@H]3[C@@H](COP(O)(=O)O[C@@H]1[C@@H]2O)O[C@H]([C@@H]3O)n1cnc2c(N)ncnc12
30,O[C@H]1CCC\C(C1)=C/CO[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2OC([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@@H](O)[C@H](O)[C@H]1O
31,CCS(=O)(=O)n1c2ncn([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)c2c(N)nc1=O
32,NC(=O)c1csc(n1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cc(C=O)c(=O)[nH]c2=O)[C@@H](O)[C@H]1O
33,Nc1ncnc2n([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]3O)c(C=O)c(O)c12
34,CCCNc1ncnc2n(cnc12)C1OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C1OP(O)(O)=O
35,Cc1cn([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O
