,smiles
0,COC(=O)C1=C(C)NC(C)=C(C1c1[nH]c2ccccc2c1Cl)C(=O)OC
1,CC1=C[C@](C)(N=C(N)C1)c1cc(NC(=O)c2cnc(OCF)cn2)ccc1F
2,CCOC(=O)C1=C(C)NC(C)=C(C1c1csc(n1)-c1ccc(Cl)cc1)C(=O)OCC(=O)Nc1cccc(c1)[N+]([O-])=O
3,CCOC(=O)C1=C(C)NC(=CC1c1ccc(OC)c(OCC)c1)c1ncccn1
4,COC1=CC(=N\C\C1=C/c1ccc(F)cc1)c1cccs1
5,CC(=O)C1=C(C)NC(C)=C(C1c1cccc2cccnc12)C(=O)OCC1CCCN(Cc2cccc(Oc3ccccc3)c2)C1
6,CC1=CC(C)=NC(=O)C1CNC(=O)Cc1ccc(F)c(F)c1
7,CCOc1cc(-c2ccc(nc2)N2CCN(C[C@@H]2C)C(=O)[C@@]C2CCOC2)c2c(cnn2c1)C#N
8,CC(=O)N[C@@H](CCCN)C(=O)N[C@H]1C[C@H]2CC[C@]C(N2C1=O)(C(=O)N[C@@H](CCCCN)C=O)C(=O)N[C@@H](CCCCN)C=O
9,COc1ccc(cc1)S(=O)(=O)N(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2OC[C@]N(Cc3ccccc3)[C@H]2C1)C[C@H]1CCCO1
10,COc1ccc(cc1)-c1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2OC[C@]N(Cc3ccccc3)[C@H]2C1
11,COC(=O)[C@]12CC[C@H]([C@@H]1[C@H]1CC[C@@H]3[C@@]c4(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]4CC[C@]3(C)[C@]1(C)CC2)C(C)=C
12,CCCCOc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2OC[C@]N(Cc3ccccc3)[C@H]2C1
13,COc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2OC[C@]N([C@H]2C1)S(=O)(=O)c1ccc(NC(C)=O)cc1
14,COCCN1C[C@@H](NC(=O)Nc2c(C)c(OC[C@H]CF)nn2-c2ccccc2)[C@@H]([C@@H]1)c1cc(F)c(F)c(F)c1
15,[C@@H]C(O)(CNC(=O)CCC=Cc1ccccc1)c1cccs1
16,CC(=O)O[C@]12[C@H](C[C@@H]3[C@@H](OC(=O)\C=C(/O)c4ccccc4)[C@]1(OC3(C)C)[C@@](C)(O)CC[C@@]2(O)[C@]OC(C)=O)OC(C)=O
17,[C@H]C1CCCN(C1)C(=O)N1Cc2nc(NC3CCOCC3)ncc2C1(C)C
18,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@@H](COC1CN(C1)C(=O)C#CC(C)(C)N1CCOCC1)C(C)(C)C(F)(F)F)-c1cccnc1[C@H]
19,COc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2OC[C@]N([C@H]2C1)S(=O)(=O)c1ccc(OC)cc1
20,COc1ccc(cc1OC)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2CO[C@H]3OC[C@]C[C@@H]2[C@H]1[C@H]3O
21,NC(N)=NCCC[C@@H]1NC(=O)CNC(=O)C[C@H](NC(=O)[C@@]CNC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc2ccccc2)NC1=O)C(O)=O
22,Cc1ccc(cc1)S([C@@H])(=O)=O
23,[C@@H]C(CN1C(c2ccc(Cl)cc2)c2ccc(Cl)cc2C1=O)N1CC[C@@H](O)C1
24,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@@H]1O[C@@H])-c1cnc2n(cccc12)C1CCOCC1
25,COc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2OC[C@]N(Cc3ccc4OCOc4c3)[C@H]2C1
26,O=C1NC(=O)C(=Cc2ccc(OCC=CCC[C@@H]3C4CCC(O4)C3C(O)=O)cc2)C(=O)N1c1ccccc1
27,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3cc4c(noc4c(F)c23)C(=O)NCCCF)C(=O)NC(=O)NC1=O
28,O=C1NC(=O)C(=Cc2ccc3OCCOc3c2)C(=O)N1c1ccccc1
29,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3cc4c(noc4c(Cl)c23)-n2cnnn2)C(=O)NC(=O)NC1=O
30,O=C1NC(=O)C(=Cc2ccc(o2)-c2ccco2)C(=O)N1c1ccccc1
31,O=C1NC(=O)C(=Cc2c[nH]c3ccccc23)C(=O)N1c1ccccc1
32,O=C1NC(=O)C(=CNCCCc2ccccc2)C(=O)N1c1ccccc1
33,C[C@@H]1CN2C([C@H](C)O1)C1(Cc3cc4c(noc4c(F)c23)N2C[C@@H](F)C[C@@H]2C(F)F)C(=O)NC(=O)NC1=O
34,O=C1NC(=O)C(=CNc2ccc(cc2)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)c2cccc(c2)-c2ccccc2)C(=O)N1c1ccccc1
35,COC(=O)CN1C(=O)N(C)C(=O)C(=Cc2ccc(Oc3ccc(cn3)C(F)(F)F)cc2)C1=O
36,Oc1ccc(cc1)-c1ccc(cc1)C(=O)CC1(O)C(=O)NC(=O)NC1=O
37,CC[C@H]1COC(=O)N1c1noc2c(F)c3N4C[C@@H](C)O[C@@H](C)[C@@H]4C4(Cc3cc12)C(=O)NC(=O)NC4=O
38,CC(C)CN1C(=O)N(CC(C)C)CC11CCN(CC1)C1(C(=O)NC(=O)NC1=O)c1ccc(Oc2ccccc2)cc1
39,O=C1NC(=O)C(=Cc2cc(OCCN3CCCCC3)ccc2OCC#C)C(=O)N1c1ccc(Oc2ccccc2)cc1
40,C[C@@H]1CN2[C@H]([C@H](C)O1)C1(Cc3nc4c(noc4c(Cl)c23)-c2cnc(C)nc2)C(=O)NC(=O)NC1=O
