,smiles
0,COc1cccc(C2C(C(=O)OC(C)(C)C)=C(C)NC(C)=C2C(=O)c2cc3ccc(OC)cc3oc2=O)c1
1,CC1=C(C(=O)c2ccccc2)C(c2ccc(C)o2)C2=C(CCCC2=O)N1
2,CCOc1cccc(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OCC(C)C)c1
3,CCCOC(=O)C1=C(C)NC(c2nc3ccccc3[nH]c2=O)=CC1c1ccccc1
4,COC(=O)C1=C(C)NC(C)=CC1c1csc(SC)n1
5,CC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCCCC2)C1c1cccc([N+](=O)[O-])c1
6,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(Cc4ccc5ccccc5c4)[C@H]3C2)cc1
7,CCOc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(Cc4ccccc4)[C@H]3C2)cc1
8,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(S(=O)(=O)c4ccccc4)[C@H]3C2)cc1
9,[CH]C(C(=O)O[C@H]1C[N+]2(CCCCc3ccccc3)CCC1CC2)c1cccnc1
10,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(C(C)=O)CC(=O)N3C[C@@H]2N=[N+]=[N-])cc1
11,Cc1cnc2cc(-c3ccc4c(c3)O[C]CO4)nc(O[C@H](C)[C@H]3CNC(=O)C3)n12
12,[CH]c1ncccc1-c1c2c3cc(ccc3n1CC)-c1csc(n1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N3CCOCC3)C1)C(C)(C)C(F)(F)F)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2
13,CCOC(=O)N[C@@H](CNC(=O)c1ccc2c(c1)nc(-c1ccco1)n2C1=CC[C]CC1)C(=O)O
14,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(Cc4csc(N)n4)[C@H]3C2)cc1
15,COCCN1[CH][C@@H](c2cc(F)c(F)c(F)c2)[C@H](NC(=O)Nc2c(C)c(OC[CH]CF)nn2-c2ccccc2)C1
16,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C]C5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]43C)[C@@H]12
17,CC(C)Sc1ccc(O[C@H]2CC3[C]C[C@@H](C2)N3C)cc1
18,NC(N)=NCCC[C@@H]1NC(=O)CNC(=O)C[C@@H](c2ccccc2)NC(=O)[C]CNC(=O)[C@H](CC(=O)O)NC1=O
19,[CH]N(C)[C@H](CN(C)C)c1ccc(-c2c(O)cc(Cl)c3[nH]c(=O)c4sccc4c23)cc1
20,[CH]S(=O)(=O)c1ccc(-c2cn(C(C)c3ccc(F)cc3)c(=O)o2)cc1
21,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C]N(S(=O)(=O)c4ccc(NC(C)=O)cc4)[C@H]3C2)cc1
22,[CH]C(CN1CCc2cc(F)ccc2C1)NS(=O)(=O)c1cccc2cnccc12
23,[CH]C(O)(CNC(=O)CCC=Cc1ccccc1)c1cc2c3ccncc3n(CC3CC3)c2s1
24,CN1C(=O)C(=Cc2c[nH]c3ccc(Br)cc23)C(=O)N(C)C1=O
25,N#Cc1ccc(CN2C(=O)NC(=O)/C(=C\c3ccc(/C=C/NC(=O)NCC(=O)N4CCNCC4)cc3)C2=O)cc1
26,N#Cc1cccc(N2C(=O)NC(=O)C(=Cc3ccc4c(c3)OCCO4)C2=O)c1
27,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1ccc(OCC=CCC[C@@H]2C3CCC(O3)C2C(=O)N2CCCC2)cc1
28,CCCCN1C(=O)NC(=O)C(=CNc2ccc(S(N)(=O)=O)cc2)C1=O
29,[N-]=[N+]=Nc1ccc(C=C2C(=O)NC(=O)N(C3CCCCC3)C2=O)cc1
30,C[C@@H]1CN2c3c(cc4c(C(=O)NCCCF)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
31,C=CC(=O)NCC(c1ccc(C(C)(C)C)cc1)N1CCN(C2(C(C)(C)C)C(=O)NC(=O)NC2=O)CC1
32,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccco2)o1
33,O=C1NC(=O)N(Cc2ccccc2)C(=O)C1=Cc1ccccc1
34,C=CCN1C(=O)NC(=O)C(=CNc2ccc(S(N)(=O)=O)cc2)C1=O
35,C[C@@H]1CN2c3c(cc4c(N5C(=O)OC[C@H]5CN=[N+]=[N-])noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
36,C[C@@H]1CN2c3c(cc4c(-c5cnc(N)nc5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
37,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1ccc2ccccc2c1
38,CN[C@H](Cc1cccc(Cl)c1)C(=O)N1CCN(C2(c3ccc(Oc4ccccc4)cc3)C(=O)NC(=O)NC2=O)CC1.O=C(O)C(F)(F)F.O=C([O-])C(F)(F)F
39,O=C(O)COc1ccc(C(F)(F)F)cc1NC(=O)c1ccc(C=C2C(=O)NC(=O)N(c3ccccc3)C2=O)cc1
40,COc1ccc(N2C(=O)NC(=O)C(=Cc3ccc(-c4ccc(Cl)c(C(=O)O)c4)o3)C2=O)cc1
41,O=C1NC(=O)N(c2ccccc2)C(=O)C1=CNc1ccc(S(=O)(=O)Nc2nnc(S(=O)(=O)c3ccccc3)s2)cc1
42,CN1C(=O)C(=Cc2c[nH]c3ccccc23)C(=O)N(C)C1=O
43,O=C1NC(=O)N(c2cccc(-c3ccsc3)c2)C(=O)C1=CNCCCc1ccccc1
44,O=C1NC(=O)N(S(=O)(=O)c2ccc(Cl)cc2)C(=O)C1=Cc1ccc(Br)cc1
45,O=C1NC(=O)C(=Cc2n[nH]c3ccccc23)C(=O)N1
46,COCCC1(Oc2ccc(Oc3ccc(-c4cccnn4)cc3)cc2)C(=O)NC(=O)NC1=O
47,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2)cc1
48,O=C1NC(=O)N(c2ccccc2O)C(=O)C1=Cc1c[nH]c2ccccc12
49,O=C1NC(=O)C(=Cc2ccc(-c3cc4c(C(=O)O)c[nH]c4cc3Cl)s2)C(=O)N1
50,NC(=O)C(c1ccc(OCc2cccc(F)c2)cc1)N1CCN(C2(c3ccc(Oc4ccccc4)cc3)C(=O)NC(=O)NC2=O)CC1
51,Cc1ncn(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)n1
52,C[C@@H]1CN2c3c(cc4c(N5C(=O)OC[C@H]5C5CCOCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
53,NS(=O)(=O)c1ccc(NC(=O)c2nn(-c3cccc(NN=C4C(=O)NC(=O)NC4=O)c3)c(-c3ccccc3)c2C(=O)N2CCCCC2)cc1
54,O=C1NC(=O)C(O)(CC(=O)c2ccc(-c3ccc(O)cc3)cc2)C(=O)N1
55,N#Cc1ccc(Cc2c(N)nc(N)c(N=O)c2N)cc1
56,O=NC(CCCOc1ccc2sc(Cc3cc([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3Cl)cc2c1)C(=O)NCc1ccccc1
57,Cc1ccc(-c2nn(-c3ccccc3)cc2CN=O)cc1
58,COc1ccc(CCN2C(=O)C(N=O)c3ccccc32)cc1
59,O=NC1C(=O)N(Cc2cccc(F)c2)c2ccccc21
60,O=NC(C(=O)NCCc1ccc(O)c(O)c1)c1ccc([N+](=O)[O-])cc1
61,COc1ccc(C(CC(=O)c2ccccc2OC)N=O)c(OC)c1
62,Nc1nc(NCCC(=O)O)c(N=O)c(=O)[nH]1
63,COCCOc1ccc(-c2ccc(C(C)N=O)c(O)c2)cc1
64,Cc1ccc(-n2cccn2)c(C(=O)N2C3CC(N=O)C2C3)n1
65,O=NCc1cn(CC(=O)c2ccc([N+](=O)[O-])cc2)c2ccccc12
66,COc1cc(C=C(C(=O)O)C(N=O)c2nc(-c3ccccc3)cs2)ccc1O
