,smiles
0,N#CSCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CSc3ccsc3[N+](=O)[O-])C2SC1.[Na+]
1,O=C(O)C[C@@](N=C=S)(C(=O)O)N(Cc1ccccc1)S(=O)(=O)c1ccc(Cl)cc1
2,COCCNS(=O)(=O)CC1CCC(N=C=S)C1
3,NN=C=S
4,O=C(CN=C=S)Nc1cccc(Br)c1
5,CN1CCN(Cc2ccc(-c3ccc(CO[C@H]4C[C@@H](N=C=S)C4)nc3)cc2)CC1
6,CS(=O)(=O)OCCCN=C=S
7,Cc1ccn(CC(C)N=C=S)n1
8,COc1ccc(-c2ccc3nc(-c4ccnnc4)oc3c2)cc1CO[C@H]1C[C@@H](N=C=S)C1
9,CC(C)=CCCC(C)N=C=S
10,O=S(=O)(c1ccc(O)c(N=C=S)c1)C(F)F
11,S=C=Nc1cc(CN2CCOCC2)cc(NC(=S)NCCCn2ccnc2)c1
12,FC(F)(F)CCCOc1cccc(Nc2nc(NCCN=C=S)nc(Nc3ccc(Cl)cc3)n2)c1
13,CC(C)=CCC/C(C)=C/CCCN=C=S
14,CCN(CC(=O)Nc1cc(F)ccc1C)C(=O)c1ccc(NC(=O)Cc2ccc(N=C=S)cc2)cc1
15,O=C(O)CCN=C=S
16,COc1cc(N=C=S)ccc1N=c1scc(-c2ccncc2)n1-c1ccc2ccccc2c1
17,C[C@@H]1CN(C2[CH]CN(C(C)(C)Cc3ccnc4ccccc34)CC2)C[C@H](C)O1
18,CC(=O)NC[C@H]1CN(c2ccc(C3C4C[S+](=O)CC43)c(F)c2)C(=O)O1
19,CC1(C)CN(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2[CH][C@@H](OCC(N)=O)CCC2)S(=O)(=O)c2ccccc21
20,CCN1[CH]CC(O)(/C=C/c2ccc(C)cc2)CC1
21,Fc1ccc([C@@H]2CC[C@@H]3CN(Cc4ccco4)C[C]32)cc1.O=C(O)C(F)(F)F
22,CC(C)[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N1CCN(C(=O)C2=CC3C=CC=C([N+](=O)[O-])C=CC=CC3C=[N+]2)CC1
23,COC(=O)CS(=O)(=O)N1CCCC(C(=O)N2CC3=CC(C)(C)NC(C)=C3C[C@H]2c2ccccc2)C1
24,O=C1OCC2=C1C(c1ccc3ccccc3c1Br)C1=C(CCS1(=O)=O)N2
25,CC(=O)NCCCCCCCCCCCCNC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1
26,COc1ccc(/C=C/C(=O)c2ccccc2NC(=O)C2=C(C)NC(N)=C(C#N)C2c2ccccc2Cl)cc1OC
27,CSc1cc(C2C3=C(CCCC3=O)NC3=C2C(=O)CCC3)cc(C)n1
28,COc1cccc(COc2ccc(C3=C(CNC(=O)OC(C)(C)C)[C@H](c4cccc(F)c4)N=C(SC(C)(C)C)C3)cc2)c1
29,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1sccc1Cl
30,CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3cc(OC)c(OC)c(OC)c3)C2)C1c1cccc([N+](=O)[O-])c1
31,CCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCC)C1c1cnc(C)s1
32,Cn1cc(-c2ccc3c(c2)C(=O)c2sc(C4=CC=NCC4)nc2CC3)cn1
33,CCOc1cc(C2C(C(=O)OC)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(Br)c1O
34,CC1=C(C(=O)OCC(C)C)C(c2ccc(C)cc2)C([N+](=O)[O-])=C(C)N1
35,CC1=C(C(=O)Nc2ccccc2)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)Nc2ccccc2)=C(C)N1
36,CCOC(C)OC(=O)C1=C(C)NC2=C(CCC(C)C2)C1c1cccc(O)c1
37,CCC1=C(C(=O)OC)C(c2ccc(C)o2)C([N+](=O)[O-])=C(C)N1
38,Cc1cccc(C2=C(C#N)C(O)=NC(c3ccc(OCCCC(F)(F)F)cc3)(C(F)(F)F)C2)c1
39,COC(O)=C1C(C)=NC(=O)C(C(=O)O)=C1C
40,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc([N+](=O)[O-])cc1
41,COC(=O)Nc1nc2cc(C3C(C(=O)OC)=C(C)NC(C)=C3C(=O)OC)ccc2[nH]1
42,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C(=O)NCc1ccccc1Cl
43,COC(OC)C1=C(C(=O)OC(C)(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)O)=C(C)N1
44,Cc1ccc(C2=C(c3nn[nH]n3)C(O)=NC(c3cnn(CCC4CCCCC4)c3)(C(F)(F)F)C2)cc1
45,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1/C=C/c1ccc(OCC(=O)NN=Cc2cccs2)cc1
46,CC1=NC(=O)C(C#N)=C(N)C1
47,C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
48,CC(=O)C1=C(C)NC2=C(C(=O)CC(c3cccc(C)c3)C2)C1c1ccc(Cl)cc1Cl
49,O=C1OCC2=C1C(c1ccccc1Cl)C1=C(CCS1(=O)=O)N2
50,CC1(C)C=CC2=NC1=Nc1nc(-c3ccccc3)ccc1N2N1CCCCC1
51,COc1c(OCC(O)CN2CCN(c3ccccn3)CC2)ccc2c1C1=C(C2=O)C(c2ccc(Cl)cc2)C(C#N)=C(N)N1
