,smiles
0,CCCCCC(=O)O[C@H]1C[C@@H](C)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)C(C)C)[C@H](OC(=O)c4ccccc4)[C@]2(COC(C)=O)[C@H]1OC(=O)CCC)[C@H]3OC(=O)c1ccccc1
1,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O
2,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](NCc1ccccc1)C(=O)N[C@H](C(=O)N[C@H](C(=O)OCc1ccccc1)[C@@H](C)O)C(C)C
3,Nc1ncnc2c1nc(I)n2C1OC(COC(Cc2cn(CC(=O)O)nn2)(C(=O)O)C(=O)O)[C@@H](O)[C@H]1O
4,C=C1C[C@@](O)([C@@H](C)[C@H]2OC(=O)C3=C2[C@](CO)(COC(=O)CCC)C/C(C)=C/CC[C@]2(C)O[C@@H]32)[C@](C)(CC)[C@H](OC(=O)CC(=O)NC(=O)OC)[C@H]1OC(=O)CC(C)C
5,COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
6,CC[C@]1(NC(=O)c2cc(C)on2)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
7,CSCC[C@H](NC(=O)[C@H](CCC(N)=O)NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
8,CCCCCCCCCCCCCC(=O)NCCCCC[C@H](NC(=O)C(=O)CCCCCCCCCCCCC)C(=O)N[C@@H](CCCCNC(=O)CNCCCCN)C(=O)N[C@@H](CCCCNC(=O)C1C(O)CC(O)C1NC(C(N)=O)C(N)=O)C(N)=O
9,CCN[C@H](CN[C@H](CN[C@H](CN[C@H](CN[C@H](CNC(C)C)Cc1ccc(O)cc1)Cc1ccc(O)cc1)Cc1ccc(O)cc1)Cc1ccc(O)cc1)Cc1ccc(O)cc1
10,COc1ccc(COCC(NC(C)=O)C(=O)NC(Cc2ccccc2)C(=O)NC(CC2CCCCC2)C(O)C(O)CC(C)C)cc1
11,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)c1cc(O)ccc1O)C(=O)NC(Cc1c[nH]cn1)C(=O)N1CCCC1C(=O)O
12,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2cccnc2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
13,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CCCCCCCNc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)ccc3OCC)nc12
14,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O
15,C[C@@H](NC(=O)CCCCCCCCCCCCC(=O)N[C@H](CC(=O)N1CCC[C@H]1C(=O)N1CCC[C@@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(N)=O)C(C)(C)C)c1ccccc1
16,Cc1cccc(C)c1NC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)Cc1ccc(OCCn2cc(CO)c3ccccc32)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O
17,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N[C@@H](CS)C(=O)O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCS)C(=O)O
18,N=C(N)N1CC(C(=O)NCCC(=O)N2C[C@@H](N)C[C@H]2C(=O)NCC(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CC(=O)O)C(=O)O)C[C@@H](N)C1
19,C=C[C@H]1[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1CC/C=C/CC[C@@H](O)CC(=O)O
20,CC(=O)NCC(=O)NC(CC(=O)OCc1ccc2ccccc2c1)C(=O)NC(CC(C)C)P(=O)(Oc1ccc(C)cc1)Oc1ccc(C)cc1
21,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1F
22,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C
23,CCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCC
24,C#CCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)C[C@@H](C)C(=O)N1CCN([C@@H](Cc2ccc3ccccc3c2)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)CC1
25,CCCCCCC=CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OP(=O)([O-])OCC[N+](C)(C)C
26,Cc1cc(OCC(=O)N[C@@H](CC(C)C)C(=O)NN(CCCCN)C(=O)OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)nc(N2CCOCC2)n1
27,CC[n+]1ccc(Nc2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(Nc5cc[n+](CC)c6ccc(N)cc56)cc4)cc3)cc2)cc1.Cc1ccc(S(=O)(=O)[O-])cc1.Cc1ccc(S(=O)(=O)[O-])cc1
