,smiles
0,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]4O[C@@H](n5cnc6c(N)nc(Br)nc65)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)c2n1.[Na+].[Na+].[Na+].[Na+]
1,CO[C@H]1\C=C\CCC[S@@](=O)(NC(=O)c2cc(C)no2)=NC(=O)c2ccc3OC[C@]4(CCCc5cc(Cl)ccc45)CN(C[C@@H]4CC[C@@H]14)c3c2
2,N[C@@H]1C[C@H]2C(=O)N3[C@@H](CC[C@@H]3[C@]1(C1SCCS1)C(=O)O)C(=O)NCCCOCCCN2C(=O)[C@@H]1C(=O)c2ccccc2C(=O)N1C1CN2CCC1CC2
3,N=C(N)NCCC[C@@H]1NC(=O)[C@@H](NC(=O)CNC(=O)CCCCNC(=O)[C@H]2CSC(N2)c2ccc(O)c(CO)c2)Cc2ccc(cc2)OCCCCCCNC1=O
4,COc1ccc(NC(=O)c2ccco2)c(N2C(=O)C3C4(C)CC(C)C(c5ccc(OCc6ccccc6)cc5)(CC4C3(C)C)C2=O)c1
5,CCc1cc(-c2ccc3cc(-c4nc5cc(cc(OC)c5n4C)C(=O)N4CC5CCC4[C@@H]5N)n(CC45CCCN(C4)C5)c3n2)c2c(cnn2c1)C#N
6,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)Nc1nc(cs1)CCCCCc1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1
7,C=C1C[C@H]2CC[C@@]34C[C@H]5O[C@@H]6C(O[C@H]7CC[C@H](CC(=O)O[C@@H]8[C@@H](OC)[C@H](CCO)O[C@H]8C[C@H]8O[C@@H](CC[C@@H]1O2)C[C@@H](C)C8=C)O[C@@H]7[C@@H]6O3)[C@H]5O4
8,N#Cc1ccc(C(c2c[nH]c3ccc(OCc4ccc(F)cc4)cc23)c2c[nH]c3ccc(C34CC5CC(CC(C5)C3)C4)cc23)cc1
9,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N4CCCN(C)CC4)cc3)C[C@]2(C)[C@H]1C(=O)C1=CCC2CC1C2(C)C
