,smiles
0,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
1,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
2,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
3,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
4,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
5,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
6,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
7,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
8,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
9,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
10,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
11,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
12,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
13,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
14,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
15,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
16,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
17,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
18,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
19,CNC(=O)c1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
20,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
21,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
22,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
23,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
24,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
25,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
26,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
27,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
28,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
29,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
30,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
31,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
32,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
33,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
34,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
35,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
36,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
37,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
38,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
39,CCOC(=O)/C(C#N)=C/c1cc(Cc2ccc(Br)cc2)cs1
40,CN(C)c1nn2cc(-c3cccc(Cl)c3)nc2s1
41,CN(C)c1nn2cc(-c3cccc(Cl)c3)nc2s1
42,CN(C)c1nn2cc(-c3cccc(Cl)c3)nc2s1
43,CN(C)c1nn2cc(-c3cccc(Cl)c3)nc2s1
44,CN(C)c1nn2cc(-c3cccc(Cl)c3)nc2s1
