,smiles
0,CCCCC[C@@H](C(=O)NCNC(=O)c1ccc(-c2ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)c(OCC(=O)O)c2)o1)[C@@H](CC)N(C=O)OC(=O)c1ccc2c(=O)oc(C)cc2c1
1,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](N)CO)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
2,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(N)=O
3,COCCOCCOC/C=C(\C(=O)OC)C(C)C(=O)O[C@H]1/C(C)=C\Cc2cc(CO)oc2CC/C(C)=C\CC1OC(=O)c1c(OC)cc(O)c(OC)c1OC
4,O=C(CCCC/C=C/C/C=C\C/C=C\C/C=C\C/C=C/CCC(=O)N(c1ccccc1)S(=O)(=O)c1ccccc1)OCCCOP(=O)(c1ccccc1)c1ccccc1
5,CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@H](C)O)c1ccccc1)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
6,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC[C@@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CC(C)C)C(C)C)C(C)C)C(=O)O
7,C[C@H](N)C(=O)NCCN(Cc1ccc(C(=O)NCCN(Cc2ccc(C(F)(F)F)cc2)C(=O)NCCN)cc1)C(=O)CCCN=C(N)N
8,CC[C@H](C)[C@@H](C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](CC(C)C)C(=O)NC(C)C)N(C)Cc1ccccn1
9,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccncc2)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](CS)CC(=O)N1CCOCC1
10,COC(=O)CCNC(=O)C[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O
11,CCCCC[C@@H](C(=O)NCNC(=O)c1ccc(-c2ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)c(OCC(=O)O)c2)o1)[C@@H](CC)N(C=O)OC(=O)C(N)CCCCN
12,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](COP(=O)(O)O)NC(=O)OCc1ccccc1)C(=O)NCC(c1ccccc1)c1ccccc1
13,CCCCCCCCC/C=C/CCCCCCC(=O)OC1CCC(C)(O)C23OC(C)(C)C(C(OC(=O)C(C)CC)C(OC(=O)CCC)[C@]12C)C3O
14,CCCCCCCCCCCCCCCCCCOC(=O)C(CCC(=O)O)NC(=O)C(NC(=O)C(CC(=O)O)NC(C)=O)[C@H](C)O
15,CCNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN=C(N)N)NC(=O)c1cccc(Oc2ccccc2)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F
16,CC(N)C(=O)NC(C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1ccc2ccccc2c1)C(N)=O)C1CCN(C(=O)CSc2ccc([N+](=O)[O-])cc2)CC1
17,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCC
18,NCCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O
