,smiles
0,N#C[Se]C(=C\c1ccc(OCc2ccc([N+](=O)[O-])cc2)c(OCc2ccc([N+](=O)[O-])cc2)c1)/C=C/S(=O)(=O)c1ccccc1
1,N#C[Se]C(=C\c1ccc(OCc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1)/C=C/S(=O)(=O)c1ccccc1
2,O=[N+]([O-])c1cc(-c2nn[se]c2-c2ccc([N+](=O)[O-])cc2)cc([N+](=O)[O-])c1
3,N#C[Se]C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)/C=C/c1ccc(OCc2ccc([N+](=O)[O-])cc2)c(OCc2ccc([N+](=O)[O-])cc2)c1
4,N#C[Se]C(=C\c1ccc(OCc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(OCc2ccc([N+](=O)[O-])cc2)c1)/C=C/S(=O)(=O)c1ccccc1
5,O=[N+]([O-])c1cc([N+](=O)[O-])c2oc(C3[Se]c4cc([N+](=O)[O-])ccc4N3c3ccc([N+](=O)[O-])cc3)nc2c1
6,N#C[Se]c1ccc([N+](=O)[O-])cc1S(=O)(=O)NN1C(=O)/C(=N\Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c2cc([N+](=O)[O-])ccc21
7,N#C[Se]C(=C\c1cc(O)cc(O)c1)/C=C/c1ccc(OCc2ccc([N+](=O)[O-])cc2)c(OCc2ccc([N+](=O)[O-])cc2)c1
8,N#C[Se]C(Sc1nc2ccccc2o1)=C1NC(c2ccc([N+](=O)[O-])cc2)C([N+](=O)[O-])=C(c2ccc([N+](=O)[O-])cc2)N1
9,O=[N+]([O-])c1cc([N+](=O)[O-])c(Oc2ccc([N+](=O)[O-])c(/C=N/Nc3nc(-c4ccc([N+](=O)[O-])cc4)c[se]3)c2)c([N+](=O)[O-])c1
10,N#C[Se]C(=C\c1ccc(OCc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(OCc2ccc([N+](=O)[O-])cc2)c1)/C=C/[S+](O)c1ccccc1
11,O=[N+]([O-])c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C=Nc2nnc(SCc3c[se]c(-c4ccc([N+](=O)[O-])cc4)n3)s2)c([N+](=O)[O-])c1
12,N#C[Se]C(=C\c1cc(O)c(O)c(c1)[N+]([O-])=O)/C1=C(/O)SC(=C/C2=CC(C=Cc3ccc(cc3)[N+]([O-])=O)=CC(=Cc3ccc(o3)[N+]([O-])=O)C2=O)S1
13,O=[N+]([O-])c1cc([N+](=O)[O-])c2oc(C3[Se]c4cc([N+](=O)[O-])ccc4N3c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2c1
14,N#C[Se]C(=C\c1ccc([N+](=O)[O-])cc1OCc1ccc([N+](=O)[O-])cc1)/C=C/[N+](=O)[O-]
15,N#C[Se]C(=C\c1ccc(Oc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1)/C=C/[S+]([O-])c1ccccc1
16,N#C[Se]C(=C\c1cc(OCc2cccc([N+](=O)[O-])c2)c(OCc2ccc([N+](=O)[O-])cc2)c([N+](=O)[O-])c1)/C=C/S(=O)(=O)Cc1cccc([N+](=O)[O-])c1
17,N#C[Se]C(=C\c1cc(OS(=O)(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(OS(=O)(=O)c2ccc([N+](=O)[O-])cc2)c([N+](=O)[O-])c1)\C#N
18,N#C[Se]C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)/C=C/c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
19,N#C[Se]c1ccc([N+](=O)[O-])cc1S(=O)(=O)Nc1ccccc1C(=O)NC1CCN(CCCCC2CCN(C(=O)C=Cc3ccc([N+](=O)[O-])cc3)CC2)CC1
20,N#C[Se]C(CC=Cc1ccccc1)(CN1CCOCC1)c1cccc(N=NN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)c2cccc([N+](=O)[O-])c2)c1
21,O=[N+]([O-])c1ccc(N/N=C2\CC[Se]/C2=C\c2cc([N+](=O)[O-])ccc2Cl)c([N+](=O)[O-])c1
22,O=[N+]([O-])c1ccc(N2N=C(c3cccc([N+](=O)[O-])c3)/C(=N\Nc3nc(-c4ccc([N+](=O)[O-])cc4)c[Se]3)C2c2ccc([N+](=O)[O-])cc2)c([N+](=O)[O-])c1
23,O=[N+]([O-])c1cc([N+](=O)[O-])c2cc(C[Se]c3ccc([N+](=O)[O-])cc3NS(=O)(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)cnc2c1
24,N#C[Se][C@@H](c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1)[C@@H](Cn1ccnc1)Sc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
