,smiles
0,C=C1[C@@H](C/C=C2/C=COC2=O)[C@@]2(C)[C]C[C@@H](OC(C)=O)[C@@](C)(CC3=C[C@@H](CO)OC3=O)[C@H]2C[C@H]1OC(=O)/C=C/c1ccccc1
1,CCC1(OC(=O)CN2CCOC2=O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
2,CC[C@@]1(OC(=O)CN)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3.[Cl-]
3,CCC1(OC(=O)CNC(=O)c2ccoc2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
4,CCC1(OC(=O)CNC(=O)OCc2ccccc2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCCO3
5,CCC1(OC(=O)CN[C@@H](Cc2ccccc2)C(=O)O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
6,CCC1(OC(=O)CNC(=O)NCCCN(C)C)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
7,CCC1(OC(=O)CN2C(=O)NC3(CCCCC3C)C2=O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
8,CC[C@@]1(OC(=O)CNC(=S)NC(=O)c2ccc(OC)c(OC)c2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
9,CC[C@@]1(OC(=O)CNC(=S)NC(Cc2ccc(OC)cc2)C(=O)OC)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
10,CCC1(OC(=O)CNC(=S)NC(=O)C(C)C)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
11,CC[C@]1(OC(=O)CNC(=O)c2ccccc2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCCO3
12,CCCCCCCCCCCCCCCCCC(=O)NCC(=O)O[C@]1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
13,C[C@@]1(OC(=O)[C@@H]2COC[C@H]3CCCN3C2=O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
14,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCCO3
15,CCN(CC)CC(=O)OC1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
16,CCC1(OC(=O)CN(Cc2ccccc2)C(=O)OCc2ccccc2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
17,C/C(=C\CC[C@@H](C)[C@H]1[C@@H](O)[C][C@@]2(C)[C@@H]3CC[C@H]4[C@](C)(C(=O)O)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)[C@@H](O)C(=O)O
18,CCC1(OC(=O)CNC(=O)COc2ccccc2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
19,CCC1(OC(=O)CNCCN(C)C)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
20,CC[C@]1(OC(=O)CNC(=O)CCl)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
21,CCN(C)CC(=O)OC1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
22,[CH][C@H](CNC(=O)c1cc(NC(=O)c2cc(-c3ccc(F)cn3)c(Cl)cc2Cl)n(-c2ccccc2)n1)N(CC)CC
23,CC[C@]1(OC(=O)CCCc2ccc(N(CCCl)CCCl)cc2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
24,CC[C@]1(OC(=O)CNC)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CON=[N+])OCO3
