Ligand SMILES,Target Name,Kd (nM)
COc1cccc(c1)C(=O)NC1C(O)[C@H](O[C@@H]2OC(CO)[C@H](O)C(OCc3ccc4ccccc4c3)C2O)C(CO)O[C@H]1OCCNC(=O)CCCCCN1C(=O)C=CC1=O,Galectin-3,14.0
OCC1O[C@@H](S[C@@H]2OC(CO)[C@H](O)C(C2O)n2cc(nn2)-c2cccc(F)c2)C(O)C([C@H]1O)n1cc(nn1)-c1cccc(F)c1,Galectin-3,36.0
CC(C)(C)NS(=O)(=O)c1ccc(cc1C(F)(F)F)-c1sc(nc1CC1CCCCC1)-c1nnc(o1)C(C)(C)O,Nuclear receptor ROR-gamma,67.0
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)-c2nnc(o2)C(C)(C)O)c2ccccc12,Nuclear receptor ROR-gamma,0.82
Cc1nnc(o1)-c1nc(CC2CCCCC2)c(s1)-c1ccc(c2ccccc12)S(=O)(=O)NC(C)(C)C,Nuclear receptor ROR-gamma,12.0
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c(Cl)c1Cl,Nuclear receptor ROR-gamma,3.3
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c2ccccc12,Nuclear receptor ROR-gamma,0.25
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c(Cl)c1Cl,Nuclear receptor ROR-gamma,0.55
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.35
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.05
CC(C)(Cc1nnc(o1)-c1nc(CC2CCC2)c(s1)-c1ccc(c(Cl)c1Cl)S(=O)(=O)NCC(F)(F)F)C(O)=O,Nuclear receptor ROR-gamma,3.2
CC(C)(Cc1nnc(o1)-c1nc(CC2CCC2)c(s1)-c1ccc(CN2CCOCC2(C)C)c2ccccc12)C(O)=O,Nuclear receptor ROR-gamma,93.0
CC(N1CCOCC1(C)C)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)C(O)=O)o2)c2ccccc12,Nuclear receptor ROR-gamma,3.0
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)o2)c(Cl)c1Cl)C(F)(F)F,Nuclear receptor ROR-gamma,0.36
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)o2)c(Cl)c1)C(F)(F)F,Nuclear receptor ROR-gamma,5.4
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)o2)c(OC(F)(F)F)c1)C(F)(F)F,Nuclear receptor ROR-gamma,3.6
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)o2)c(c1)C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,8.7
CC(C)Cc1nc(sc1-c1ccc(c(Cl)c1Cl)S(=O)(=O)N[C@@H](C)C(F)(F)F)-c1nnc(CC(C)(C)OC=O)o1,Nuclear receptor ROR-gamma,2.0
CC(C)Cc1nc(sc1-c1ccc(cc1OC(F)(F)F)S(=O)(=O)N[C@@H](C)C(F)(F)F)-c1nnc(CC(C)(C)OC=O)o1,Nuclear receptor ROR-gamma,22.0
C[C@H](NS(=O)(=O)c1ncc(-c2sc(nc2CC2CCCCC2)-c2nnc(CC(C)(C)OC=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.33
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)o2)c2ccncc12)C(F)(F)F,Nuclear receptor ROR-gamma,11.0
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)o2)c2cnccc12)C(F)(F)F,Nuclear receptor ROR-gamma,7.5
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)o2)c(OC(F)(F)F)c1)C(F)(F)F,Nuclear receptor ROR-gamma,5.4
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCC2)-c2nnc(CC(C)(C)OC=O)o2)c(Cl)c1)C(F)(F)F,Nuclear receptor ROR-gamma,6.5
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)-c2nnc(CC(C)(C)OC=O)o2)c2ccccc12)C(F)(F)F,Nuclear receptor ROR-gamma,0.02
